bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,Par_Group,Name_Ctrl,Type_Ctrl,Value_Ctrl,Gen_Model,Gen_Par,AVR_Model,AVR_Par,GOV_Model,GOV_Par,PSS_Model,PSS_Par,Rate_MVA,Rate_MW,Xdp,Xdpp,X2,Tj,P_rate
455,455,1,1,2,1.1124,-21.255,0.4513,0.2181,0.515,0.0822,0,0,0.57,-0.22,0,0.0,0,0,,0,0,10,1,0,0,0,0,0,0,102.0,102.0,0.2,0.1,0.1,10.0,103.0
456,456,1,1,2,1.1189,-21.84,0.325,0.1568,0.55,0.0837,0,0,0.57,-0.22,0,0.0,0,0,,0,0,3,172,12,296,8,1,4,126,129.41,110.0,0.2,0.1,0.1,7.0007,110.00000000000001
457,457,1,1,2,1.1171,-19.872,0.9417,0.5355,1.32,0.3213,0,0,1.28,-0.5,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,264.0
458,458,1,1,2,1.1149,-20.451,0.779,0.4562,1.1,0.1712,0,0,1.14,-0.44,0,0.0,0,0,,0,0,3,172,12,295,8,115,4,125,258.82,220.0,0.1,0.05,0.05,14.0014,220.00000000000003
478,478,1,1,2,1.1187,-25.864,-0.0773,0.18,1.32,0.7963,0,0,1.49,-0.47,0,0.0,0,0,,0,0,3,1733,12,110,7,75,4,51,255.556,250.0,0.2,0.1,0.1,8.62,264.0
479,479,1,1,2,1.1049,-27.899,0.1361,0.1134,0.1,0.12,0,0,0.12,0.0,0,0.0,0,0,,0,0,3,182,12,319,7,4,2,59,25.0,20.0,0.2,0.1,0.1,6.0,20.0
482,482,1,1,2,1.1062,-12.322000000000001,0.2256,0.0733,0.044000000000000004,0.02,0,0,0.02,0.0,0,0.0,0,0,,0,0,3,20,12,34,1,1,2,7,10.0,8.0,0.2,0.1,0.1,5.45,8.8
500,500,1,1,2,1.0931,-5.4416,0.1219,0.0131,0.0034,0.002,0,0,0.002,0.0,0,0.0,0,0,,0,0,3,127,1,1,7,14,0,0,0.813,0.65,0.2,0.1,0.1,2.0636,0.6799999999999999
522,522,1,1,2,1.1012,-22.825,0.0914,0.0201,0.066,0.04,0,0,0.04,0.0,0,0.0,0,0,,0,0,3,185,12,314,7,1,2,58,15.625,12.5,0.2,0.1,0.1,5.1,13.200000000000001
527,527,1,1,2,1.1108,-8.5692,0.1575,0.0563,0.0341,0.03,0,0,0.03,0.0,0,0.0,0,0,,0,0,3,48,12,90,8,13,2,18,6.67,6.2,0.2,0.1,0.1,8.1,6.819999999999999
532,532,1,1,2,1.1016,-24.88,0.1384,0.0412,0.195,0.1377,0,0,0.141,0.114,0,0.0,0,0,,0,0,3,58,12,98,7,5,4,44,44.71,38.0,0.2,0.1,0.1,6.19,39.0
543,543,1,1,2,1.0608,-3.7146,0.0487,0.01,0.0297,0.02,0,0,0.02,0.0,0,0.0,0,0,,0,0,3,136,12,227,7,33,4,97,6.74,5.4,0.1,0.05,0.05,8.29222,5.94
572,572,1,1,2,1.0537,-28.236,0.1015,0.0201,0.0,0.0,0,0,0.02,0.0,0,0.0,0,0,,0,0,6,1225,12,765,0,0,8,1,100.0,0.0,0.2,0.1,0.1,2.99,0.0
597,597,1,1,2,1.0872,-5.1204,0.1178,0.01,0.017,0.006999999999999999,0,0,0.013999999999999999,0.0,0,0.0,0,0,,0,0,3,120,12,209,7,14,0,0,5.0,3.2,0.1,0.05,0.05,2.04,3.4000000000000004
603,603,1,1,2,1.1119,-21.851,0.0202,0.006,0.044000000000000004,0.03,0,0,0.03,0.0,0,0.0,0,0,,0,0,3,20,12,34,1,1,2,7,10.0,8.0,0.2,0.1,0.1,5.45,8.8
670,670,1,1,2,1.1196,-20.978,0.5329,0.5064,2.92,0.9775,0,0,2.28,0.16,0,0.0,0,0,,0,0,3,164,12,277,8,106,4,112,100.0,550.0,0.2,0.1,0.1,53.61313,584.0
671,671,1,1,2,1.12,-20.554000000000002,0.5529999999999999,0.5265,3.2,1.0783,0,0,2.41,0.18,0,0.0,0,0,,0,0,3,4,12,6,8,4,4,3,667.0,600.0,0.2,0.1,0.1,9.331,640.0
692,692,1,1,2,1.0987,-23.359,0.4844,0.1547,0.0154,0.006999999999999999,0,0,0.006999999999999999,0.0,0,0.0,0,0,,0,0,6,142,12,234,2,6,4,100,3.75,3.0,0.2,0.1,0.1,5.33333,3.08
694,694,1,1,2,1.082,-29.219,0.1594,0.0402,0.013999999999999999,0.01,0,0,0.01,0.0,0,0.0,0,0,,0,0,3,135,12,226,7,33,4,97,3.37,2.7,0.2,0.1,0.1,4.14611,2.8
700,700,1,1,2,1.1146,-22.69,0.2409,0.1286,0.55,0.48,0,0,0.48,0.04,0,0.0,0,0,,0,0,3,172,12,296,8,1,4,126,129.41,110.0,0.2,0.1,0.1,7.0007,110.00000000000001
701,701,1,1,2,1.1114,-21.846,0.4519,0.3265,2.02,1.19,0,0,1.19,0.12,0,0.0,0,0,,0,0,3,1470,12,398,7,77,4,182,472.2,375.0,0.2,0.1,0.1,6.4,404.0
702,702,1,1,2,1.1147,-22.654,0.1407,0.1306,0.93,0.5,0,0,0.5,0.06,0,0.0,0,0,,0,0,3,199,12,340,8,117,4,150,200.0,180.0,0.2,0.1,0.1,7.7,186.0
735,735,1,1,2,1.0952,-10.052,0.0721,0.0131,0.1,0.06,0,0,0.06,0.0,0,0.0,0,0,,0,0,3,182,12,319,7,4,2,59,25.0,20.0,0.2,0.1,0.1,6.0,20.0
