ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
447,447,0.0000,0.930000,0.260000,0.190000,0.740000,0.000000,0.190000,0.169000,0.000000,16.000000,0.048000,0.000000,0.140000,13.471330,0.900000,0.000000,9.000000,0.000000,_
448,448,0.0000,2.087000,0.257300,0.000000,2.087000,0.257500,0.000000,0.204039,0.000000,999.000000,0.000000,0.790000,0.000000,8.220160,0.900000,0.000000,9.000000,0.000000,_
449,449,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.074000,4.115000,0.900000,0.000000,9.000000,0.000000,_
450,450,0.0000,12.770000,1.258000,0.970300,12.280000,2.400000,0.958900,0.997594,0.000000,11.000000,0.043000,1.200000,0.084000,2.348000,0.900000,0.000000,9.000000,0.000000,_
451,451,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.074000,3.647000,0.900000,0.000000,9.000000,0.000000,_
452,452,0.0000,46.919998,5.082000,0.000000,46.919998,5.082000,0.000000,4.030026,0.000000,999.000000,0.000000,1.700000,0.000000,0.352000,0.900000,0.000000,9.000000,0.000000,_
453,453,0.0000,31.420000,2.713000,0.000000,31.420000,2.713000,0.000000,2.151409,0.000000,999.000000,0.000000,1.700000,0.000000,0.714000,0.900000,0.000000,9.000000,0.000000,_
454,454,0.0000,10.480000,0.968600,0.746200,10.080000,1.913000,0.736300,0.768100,0.000000,11.600000,0.043000,1.300000,0.087000,2.114000,0.900000,0.000000,9.000000,0.000000,_
455,455,0.0000,23.320000,2.374000,1.835000,22.389999,4.478000,1.824000,1.882582,0.000000,10.500000,0.043000,1.200000,0.082000,0.561000,0.900000,0.000000,9.000000,0.000000,_
456,456,0.0000,2.151400,0.281800,0.190300,2.151400,0.281800,0.190300,0.212400,0.001751,10.488000,0.049000,1.165000,0.049000,7.176000,0.900000,0.000000,9.000000,0.000000,_
457,457,0.0000,2.151400,0.281800,0.190300,2.151400,0.281800,0.190300,0.212400,0.001709,10.488000,0.049000,1.165000,0.049000,7.176000,0.900000,0.000000,9.000000,0.000000,_
458,458,0.0000,2.610000,0.264000,0.225000,2.480000,0.712000,0.248000,0.191000,0.001647,8.850000,0.036000,0.983000,0.036000,5.885500,1.000000,0.217500,9.338799,0.000000,
459,459,0.0000,2.090000,0.259000,0.195000,2.050000,0.422000,0.198000,0.201000,0.002050,10.000000,0.041000,0.956000,0.072000,8.237100,0.900000,0.000000,9.000000,0.000000,2017_10_16______
460,460,0.0000,2.090000,0.259000,0.195000,2.050000,0.422000,0.198000,0.201000,0.002029,10.000000,0.041000,0.956000,0.072000,8.237100,0.900000,0.000000,9.000000,0.000000,2017_10_16______2017_12_6__________
461,461,0.0000,2.156000,0.264700,0.205000,2.156000,2.156000,0.200900,0.203000,0.000000,8.270000,0.100000,0.000000,0.100000,5.556000,1.000000,0.134000,8.792000,0.000000,__#5
462,462,0.0000,2.100000,0.234000,0.185000,2.050000,0.372000,0.182000,0.159000,0.000000,8.600000,0.044000,0.956000,0.072000,8.030000,1.000000,0.000000,1.000000,0.000000,___#6_7
463,463,0.0000,2.210000,0.230000,0.140000,2.044000,0.349000,0.149000,0.150000,0.000000,9.340000,0.022000,1.163000,0.044000,6.230000,1.000000,0.000000,1.000000,0.000000,___4_5
464,464,0.0000,1.800000,0.202000,0.160000,1.750000,0.336000,0.158000,0.159000,0.000000,8.600000,0.044200,0.956000,0.074400,6.770000,1.000000,0.000000,1.000000,0.000000,___#6_7
465,465,0.0000,2.171400,0.233500,0.180200,2.115800,0.370200,0.177800,0.179000,0.000000,8.470000,0.045000,0.940000,0.075000,7.500000,1.000000,0.077000,8.105000,0.000000,_____1_2_
466,466,0.0000,1.867000,0.257000,0.180000,1.818000,0.413000,0.222000,0.220000,0.000000,6.900000,0.039000,0.767000,0.055000,7.248330,1.000000,0.000000,1.000000,0.000000,__1_2_
467,467,0.0000,1.530000,0.146000,0.214000,1.480000,0.280000,0.226000,0.130800,0.000000,7.500000,0.054000,0.830000,0.103000,2.990000,1.000000,0.193000,8.853000,0.000000,
468,468,0.0000,1.896000,0.248900,0.191500,1.896000,1.896000,0.191500,0.215400,0.000000,6.900000,0.119000,0.000000,0.119000,5.702650,1.000000,0.000000,1.000000,0.000000,__1_2_
469,469,0.0000,1.896000,0.248900,0.191500,1.896000,1.896000,0.191500,0.215400,0.000000,6.900000,0.119000,0.000000,0.119000,5.972000,1.000000,0.000000,1.000000,0.000000,__1_2_
470,470,0.0000,2.080000,0.210000,0.120000,1.960000,0.350000,0.180000,0.170000,0.001046,9.830000,0.022000,0.910000,0.033000,5.490000,1.000000,0.146380,4.237000,0.000000,__#3_4
