ID,Par_No,TYPE1,TYPE2,TYPE3,T1,TR1,DB1,DB1MAX,DB1MIN,KW,T2,TR2,EP,DB2,DB2MAX,DB2MIN,T3,TR3,BP,DB3,DB3MAX,DB3MIN,KP,KD,KI,TD,INTMAX,INTMIN,PIDMAX,PIDMIN,YC,Tclose,Topen,VELC,VELO,PMAX,PMIN,TF,KP1,KD1,KI1,INTMAX1,INTMIN1,PIDMAX1,PIDMIN1,T4,Tw,Kwtype,At,Tr,YNL,DBWP,DBWN,pchoice,promax1,promin1,promax2,promin2,ratelimp,ratelimn,Note
21,21,0,1,1,0.000000,0.020000,0.010000,0.002000,-0.002000,1.350000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,0.000000,0.000000,5.180000,8.710000,-1.000000,1.000000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,0.220000,-0.180000,0.600000,-0.900000,0.000000,0.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
22,22,0,1,1,0.000000,0.020000,0.004000,0.004000,-0.004000,1.600000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,-1.000000,0.000000,5.180000,8.780000,-1.000000,0.590000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,0.500000,-0.250000,1.000000,-1.000000,0.010000,0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
23,23,0,1,1,0.000000,0.020000,0.004000,0.004000,-0.004000,1.350000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,-1.000000,0.000000,5.180000,8.710000,-0.400000,0.400000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,0.220000,-0.180000,1.000000,-1.000000,0.010000,0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
24,24,0,1,1,0.000000,0.020000,0.004000,0.004000,-0.004000,1.390000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,-1.000000,0.000000,5.150000,8.840000,-0.400000,0.400000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,0.280000,-0.200000,1.000000,-1.000000,0.010000,0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
25,25,0,1,1,0.000000,0.020000,0.004000,0.004000,-0.004000,1.390000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.000000,0.020000,0.040000,0.000000,1.000000,-1.000000,6.000000,0.000000,6.000000,0.371000,1.200000,-1.000000,1.200000,-1.000000,0.000000,5.280000,2.100000,-0.870000,0.400000,1.100000,-0.030000,0.020000,10.000000,0.000000,30.000000,0.350000,-0.330000,1.000000,-1.000000,0.010000,0.300000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
26,26,0,1,0,0.010000,0.010000,0.004000,1.000000,-1.000000,1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,5.000000,3.000000,2.000000,0.060000,1.000000,-1.000000,1.000000,-1.000000,0.000000,18.500000,19.100000,-1.000000,1.000000,1.050000,-0.030000,0.020000,26.000000,0.000000,0.000000,0.200000,-0.200000,1.100000,-1.100000,0.000000,4.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
27,27,0,1,1,0.020000,0.020000,0.004000,0.009000,-0.009000,1.800000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.002000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.200000,1.100000,-1.000000,1.100000,-1.000000,0.000000,7.210000,7.210000,-1.000000,0.455000,1.100000,-0.030000,0.020000,10.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.300000,1.450000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
28,28,0,1,1,0.020000,0.020000,0.004000,0.009000,-0.009000,1.730000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.002000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.200000,1.100000,-1.000000,1.100000,-1.000000,0.000000,14.130000,14.130000,-1.000000,0.941000,1.100000,-0.030000,0.020000,50.000000,0.000000,0.000000,1.100000,-1.100000,1.100000,-1.100000,0.300000,1.100000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
29,29,0,1,1,0.020000,0.020000,0.004000,0.001800,-0.001800,1.830000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.002000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.100000,1.100000,-1.000000,1.100000,-1.000000,0.000000,10.800000,7.110000,-1.540000,0.530000,1.050000,-0.030000,0.020000,11.500000,0.000000,0.000000,0.100000,-0.100000,1.100000,-1.000000,0.200000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
30,30,0,1,1,0.020000,0.020000,0.004000,0.001800,-0.001800,1.850000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.020000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.100000,1.100000,-1.000000,1.100000,-1.000000,0.000000,7.600000,7.100000,-1.100000,0.500000,1.050000,-0.030000,0.020000,11.500000,0.000000,0.000000,0.100000,-0.100000,1.100000,-1.000000,0.200000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
31,31,0,1,1,0.020000,0.020000,0.004000,0.001800,-0.001800,1.690000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.002000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.100000,1.100000,-1.000000,1.100000,-1.000000,0.000000,15.000000,14.000000,-1.320000,0.900000,1.050000,-0.030000,0.020000,12.000000,0.000000,0.000000,0.100000,-0.100000,1.100000,-1.000000,0.200000,1.200000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
32,32,0,1,1,0.020000,0.020000,0.004000,0.001800,-0.001800,1.700000,0.020000,0.020000,0.040000,0.000000,999.000000,-999.000000,0.002000,0.020000,0.040000,0.000000,1.000000,-1.000000,1.000000,1.000000,0.200000,0.100000,1.100000,-1.000000,1.100000,-1.000000,0.000000,11.220000,11.220000,-1.000000,0.750000,1.050000,-0.030000,0.020000,15.000000,0.000000,0.000000,0.100000,-0.100000,1.100000,-1.000000,0.200000,1.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,2,99999.900000,-99999.900000,99999.900000,-99999.900000,99999.900000,-99999.900000,2
