ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
72,72,0.06,0.01,22,1,1,4,0.01,0.01,6.63,0.01,10,-10,0,1,5.35,-4.48,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12___#2
73,73,0.06,0.01,22,1,1,4,0.01,0.01,6.63,0.01,10,-10,0,1,5.16,-4.44,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12___#3
74,74,0.06,0.01,22,1,1,4,0.01,0.01,6.63,0.01,10,-10,0,1,5.21,-4.36,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,12___#4
75,75,0,0.02,200,1,1,1,1,4,1,0.02,20,-20,0,1,5.97,-4.1,0.064,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#1
76,76,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-8.5,0,1,6.03,-5.25,0.0794,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#2
77,77,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,6.29,-5.66,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#3
78,78,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,6.47,-5.91,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#4_
79,79,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,5.95,-5.5,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
80,80,-0.03,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,6.08,-5.44,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
81,81,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,5.98,-5.5,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#7
82,82,0,0.02,350,1,1,2,0.1,0.1,1,0.01,10,-10,0,1,6.25,-5.51,0.0796,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,__#1
83,83,-0.03,0.01,375,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,5.965,-5.567,0.0789,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#1
84,84,-0.03,0.01,375,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,6.175,-5.488,0.0789,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#2
85,85,-0.03,0.01,350,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,5.7,-5.14,0.0788,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#3
86,86,-0.03,0.01,375,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,6.12,-5.47,0.0789,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,___#4_
87,87,-0.05,0.01,375,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,6.08,-5.01,0.0789,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#5
88,88,-0.05,0.01,375,1,1,2.14,0.1,0.1,1,0.01,10,-10,0,1,6.03,-5.41,0.0789,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____#6
89,89,-0.06,0.02,20,0,3,1,1,1,1,0.02,20,-20,0,1,5.3,-4.3,0.046,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,8,0,0,0,0,0,0,_____
90,90,0.08,0.02,380,1,1,1,1,6.86,1,0.02,20,-20,0,1,5.5,-4.8,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,9,0,0,0,0,0,0,____
91,91,0.05,0.02,20,0,2,1,0.02,0.08,1,0.02,20,-20,0,1,5.7,-4.7,0.043,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
92,92,0.05,0.02,30,0,5,5,0.1,0.1,1,0.02,10,-10,0,1,4.16,-3.48,0.0411,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,DC-HYD_
93,93,-0.05,0.02,220,1,1,1,1,5.82,1,0.02,20,-20,0,1,5.1,-4.4,0.04,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,10,0,0,0,0,0,0,_____
94,94,0,0.02,200,1,0.1,0.1,1,4,1,0.02,20,-20,0,1,5.8,-4,0.048,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,____
95,95,0,0.02,200,1,1,1,1,4,1,0.02,20,-20,0,1,5.9,-3.8,0.06,0,0,9999.9,-9999.9,9999.9,-9999.9,0,0,0,0,0,0,0,0,0,_____
96,96,-0.06,0.02,10,0,5.5,1,1,1,1,0.02,20,-20,0,1,4.9,-3.8,0.046,0,0,9999.9,-9999.9,9999.9,-9999.9,2,2,11,0,0,0,0,0,0,_____
