ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
430,430,0,1.855,0.2568,0.1693,1.855,1.669,0.1693,0.203642,0,9.22,0.053,1.03,0.053,6.55581,0.9,0,9,0,_
431,431,0,2.28,0.318,0.236,2.222,0.467,0.231,0.252174,0,8.61,0.045,0.96,0.068,5.67507,0.9,0,9,0,_
432,432,0,1.836,0.2275,0.168,1.79,0.378,0.1657,0.180408,0,8.47,0.045,0.94,0.079,8.53541,0.9,0,9,0,_
433,433,0,2.836,0.409,0.29,2.836,0.409,0.29,0.324337,0,8.45,0.053,0.94,0.053,4.2444,1,0.1314,7.4512,0,_
434,434,0,2.27,0.268,0.174,2.21,0.446,0.173,0.195,0.002225,9.86,0.059,1.096,0.099,6.5169,0.9,0,9,0,_
435,435,0,2.212,0.24,0.182,2.072,0.391,0.195,0.19032,0,9.46,0.023,0.9,0.034,6.79283,0.9,0,9,0,_
436,436,0,2.39,0.26,0.186,2.36,2.124,0.188,0.20618,0,11.5,0.03,1.27,0.04,8.4233,0.9,0,9,0,_
437,437,0,1.755,0.306,0.218,1.628,0.408,0.235,0.242658,0,4.7,0.039,4.7,0.039,7.55467,0.9,0,9,0,_
438,438,0,2.27,0.268,0.174,2.21,0.446,0.173,0.195,0.002225,9.86,0.059,1.096,0.099,5.94,0.9,0,9,0,_
439,439,0,2.27,0.268,0.174,2.21,0.446,0.173,0.195,0.002225,9,0.017,0,0.05,5.94,0.9,0,9,0,_
440,440,0,1.628,0.2284,0.1586,1.628,0.576,0.167,0.181121,0,7,0.03,1.67,0.05,10.61712,0.9,0,9,0,_
441,441,0,2.03,0.2743,0.2368,2.01,0.8084,0.2126,0.21752,0,12.05,0.04,1.35,0.08,7.01925,0.9,0,9,0,_
442,442,0,0.97,0.309,0.214,0.628,0.5652,0.226,0.245037,0,6.5,0.04,0,0.06,7.2573,0.9,0,9,0,_
443,443,0,2.1,0.265,0.201,2.05,1.845,0.198,0.210145,0,8.6,0.04,0.96,0.07,5.7966,0.9,0,9,0,_
444,444,0,1.836,0.2275,0.168,1.79,1.611,0.1657,0.180408,0,9.47,0.05,0.94,0.08,8.56374,0.9,0,9,0,_
445,445,0,2.27,0.3035,0.2216,2.209,0.4454,0.2157,0.240676,0,8.72,0.045,0.97,0.069,7.3994,0.9,0,9,0,_
446,446,0,0.93,0.26,0.19,0.74,0,0.19,0.169,0,16,0.048,0,0.14,13.47147,0.9,0,9,0,_
447,447,0,0.93,0.26,0.19,0.74,0,0.19,0.169,0,16,0.048,0,0.14,13.47133,0.9,0,9,0,_
448,448,0,2.087,0.2573,0,2.087,0.2575,0,0.204039,0,999,0,0.79,0,8.22016,0.9,0,9,0,_
449,449,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.074,4.115,0.9,0,9,0,_
450,450,0,12.77,1.258,0.9703,12.28,2.4,0.9589,0.997594,0,11,0.043,1.2,0.084,2.348,0.9,0,9,0,_
451,451,0,5.1,0.6488,0.493,4.958,1.082,0.4873,0.514498,0,8.6,0.044,1,0.074,3.647,0.9,0,9,0,_
452,452,0,46.919998,5.082,0,46.919998,5.082,0,4.030026,0,999,0,1.7,0,0.352,0.9,0,9,0,_
453,453,0,31.42,2.713,0,31.42,2.713,0,2.151409,0,999,0,1.7,0,0.714,0.9,0,9,0,_
454,454,0,10.48,0.9686,0.7462,10.08,1.913,0.7363,0.7681,0,11.6,0.043,1.3,0.087,2.114,0.9,0,9,0,_
455,455,0,23.32,2.374,1.835,22.389999,4.478,1.824,1.882582,0,10.5,0.043,1.2,0.082,0.561,0.9,0,9,0,_
456,456,0,2.1514,0.2818,0.1903,2.1514,0.2818,0.1903,0.2124,0.001751,10.488,0.049,1.165,0.049,7.176,0.9,0,9,0,_
457,457,0,2.1514,0.2818,0.1903,2.1514,0.2818,0.1903,0.2124,0.001709,10.488,0.049,1.165,0.049,7.176,0.9,0,9,0,_
458,458,0,2.61,0.264,0.225,2.48,0.712,0.248,0.191,0.001647,8.85,0.036,0.983,0.036,5.8855,1,0.2175,9.338799,0,
459,459,0,2.09,0.259,0.195,2.05,0.422,0.198,0.201,0.00205,10,0.041,0.956,0.072,8.2371,0.9,0,9,0,2017_10_16______
460,460,0,2.09,0.259,0.195,2.05,0.422,0.198,0.201,0.002029,10,0.041,0.956,0.072,8.2371,0.9,0,9,0,2017_10_16______2017_12_6__________
461,461,0,2.156,0.2647,0.205,2.156,2.156,0.2009,0.203,0,8.27,0.1,0,0.1,5.556,1,0.134,8.792,0,__#5
