ID,Par_No,xc_modul,tr_measure,k_dcplus,kv_integ,t1_series,t2_series,t3_series,t4_series,ka_amplify,ta_amplify,vamax,vamin,kf_paral,tf_paral,vrmax,vrmin,kc_load,Vs_POS,R_MODEL,vmax1,vmin1,vmax2,vmin2,lelocation,lemodel,leparno,oelocation,oemodel,oeparno,oilocation,oimodel,oiparno,Note
51,51,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.010000,-5.260000,0.100800,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,27
52,52,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.060000,-5.110000,0.100000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#2
53,53,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.100000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.500000,-5.700000,0.100600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#3
54,54,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.200000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.150000,-5.400000,0.100600,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#4
55,55,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.740000,-5.920000,0.100000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#5
56,56,0.000000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.410000,-5.410000,0.101000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#6
57,57,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.790000,-5.160000,0.095000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#7
58,58,0.000000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,6.080000,-5.190000,0.095000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#8
59,59,-0.050000,0.020000,20.000000,0.000000,3.000000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.900000,-4.860000,0.095000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,___#9
60,60,0.045000,0.020000,8.300000,0.000000,3.500000,1.000000,0.100000,0.100000,1.000000,0.020000,10.000000,-10.000000,0.000000,1.000000,5.140000,-3.440000,0.059000,0,0,9999.900000,-9999.900000,9999.900000,-9999.900000,0,0,0,0,0,0,0,0,0,_____
