id,nd
243,7162
244,7164
245,6414
246,6417
247,6419
248,6424
249,6427
250,6429
251,7214
252,7211
253,7213
254,7221
255,7216
256,7218
257,6625
258,6627
259,6621
260,6623
261,6635
262,6637
263,6631
264,6633
265,3602
266,19743
267,19745
268,8113
269,8117
270,8119
271,8115
272,8121
273,8123
274,8125
275,8127
276,8146
277,8148
278,8156
279,8158
280,8160
281,8162
282,5827
283,3472
284,3474
285,3476
286,5823
287,5825
288,18967
289,8237
290,8239
291,8241
292,8243
293,8245
294,8247
295,18203
296,6295
297,8272
298,8274
299,8276
300,8278
301,8309
302,8322
303,8307
304,8320
305,8318
306,8316
307,8314
308,8312
309,8357
310,8359
311,4586
312,8397
313,8388
314,8399
315,8390
316,8392
317,18992
318,6416
319,6421
320,6431
321,6426
322,8608
323,8610
324,8618
325,8620
326,8611
327,8613
328,8615
329,8621
330,8623
331,8625
332,7543
333,7545
334,8654
335,7548
336,7550
337,8658
338,8662
339,8664
340,8666
341,7546
342,8656
343,7553
344,8661
345,8669
346,8671
347,18254
348,21010
349,19401
350,8756
351,8758
352,8760
353,8752
354,8754
355,8747
356,8749
357,8743
358,8745
359,19343
360,19339
361,21031
362,21030
363,21043
364,19341
365,50417
366,8924
367,8926
368,8928
369,8930
370,8932
371,26261
372,8969
373,8971
374,8963
375,8965
376,8967
377,50418
378,9098
379,9100
380,9101
381,50419
382,9103
383,9105
384,50420
385,50421
386,50422
387,9108
388,9110
389,9112
390,9115
391,9117
392,9161
393,21309
394,21310
395,9194
396,9196
397,9198
398,9286
399,9288
400,9290
401,9292
402,9294
403,9296
404,9298
405,9300
406,18946
407,9478
408,9480
409,9486
410,9488
411,9541
412,9543
413,9538
414,9481
415,9550
416,9489
417,9544
418,9546
419,9483
420,9491
421,9548
422,9942
423,9944
424,9945
425,9948
426,9949
427,9928
428,9930
429,9931
430,9934
431,9935
432,9952
433,9938
434,18948
435,10023
436,10021
437,21710
438,21711
439,17886
440,21869
441,21870
442,10145
443,10232
444,10234
445,10236
446,10238
447,10272
448,10270
449,10268
450,10266
451,10276
452,10280
453,10278
454,10282
455,18251
456,22030
457,22031
458,22032
459,22033
460,22022
461,22023
462,22024
463,22025
464,10408
465,10410
466,10412
467,10414
468,10416
469,10418
470,50423
471,50424
472,50425
473,50426
474,50427
475,50428
476,11517
477,11519
478,11521
479,11523
480,11525
481,11527
482,11529
483,11531
484,11535
485,11537
486,11539
487,11533
488,50429
489,50430
490,50431
491,50432
492,11953
493,11954
494,23321
495,23322
496,11978
497,11976
498,11974
499,11972
500,11992
501,11990
502,11988
503,11986
504,12034
505,12036
506,12038
507,12040
508,12129
509,12125
510,12127
511,12135
512,12131
513,12133
514,12268
515,12270
516,12271
517,12273
518,12275
519,12277
520,12279
521,12281
522,5957
523,23541
524,23540
525,12439
526,12441
527,12443
528,12435
529,12437
530,12449
531,12451
532,12445
533,12447
534,12453
535,23646
536,6629
537,6619
538,12810
539,12812
540,12814
541,12816
542,12818
543,12820
544,12490
545,12494
546,23874
547,23875
548,12961
549,12959
550,13060
551,14181
552,13062
553,14183
554,14185
555,17260
556,50433
557,50434
558,50435
559,24014
560,24013
561,13450
562,13452
563,13454
564,13456
565,13457
566,13459
567,13461
568,13463
569,13466
570,13468
571,13470
572,13472
573,13474
574,13476
575,13478
576,13480
577,13506
578,13483
579,13485
580,13487
581,13492
582,13494
583,13496
584,13500
585,13501
586,13504
587,24234
588,24233
589,13646
590,13644
591,13648
592,13650
593,13652
594,13654
595,13656
596,13658
597,13660
598,13662
599,24362
600,24515
601,24514
602,14308
603,14309
604,14310
605,14311
606,14312
607,14313
608,14314
609,14315
610,14052
611,14050
612,24571
613,24570
614,14221
615,14222
616,14223
617,14224
618,14225
619,14226
620,14227
621,14228
622,14229
623,24616
624,24615
625,50436
626,50437
627,14282
628,14283
629,14284
630,14285
631,14286
632,14287
633,14288
634,14289
635,14321
636,14322
637,14323
638,14320
639,24702
640,24699
641,24701
642,24698
643,14814
644,25067
645,14818
646,25068
647,25081
648,14964
649,25299
650,15093
651,15204
652,15269
653,15271
654,50438
655,15275
656,15277
657,15279
658,50439
659,15273
660,15284
661,15286
662,50440
663,15290
664,15292
665,15293
666,50441
667,15281
668,15364
669,15267
670,15563
671,15565
672,15557
673,15559
674,15561
675,15574
676,15575
677,15568
678,15570
679,15572
680,28006
681,15372
682,9940
683,9954
684,15288
685,15365
686,7115
687,7133
688,24412
689,24413
690,24784
691,24783
692,24782
693,14471
694,14563
695,25140
696,25193
697,25195
698,25208
699,25210
700,25356
701,15328
702,15623
703,15687
704,25699
705,25704
706,27997
707,27998
708,28005
709,13336
710,14489
711,50442
712,50443
713,15178
714,15180
715,28001
716,28002
717,28003
718,15028
719,15030
720,15336
721,15477
722,25562
723,15607
724,15635
725,15721
726,15731
727,15783
728,28007
729,15763
730,23038
731,15876
732,15912
