id,I_nd,J_nd
437,19051,18265
438,17576,19318
439,18525,19131
440,19303,18881
441,19358,19380
442,18199,19175
443,19310,19072
444,19170,19257
445,19169,19405
446,19017,19357
447,19174,17662
448,19173,19150
449,18618,19024
450,17884,19342
451,50267,50243
452,18834,19363
453,17973,19029
454,19039,17978
455,19308,19156
456,19307,19157
457,19041,17608
458,19040,17607
459,18991,19404
460,18139,19137
461,18536,19417
462,26023,19416
463,18208,19335
464,18271,19422
465,19369,23468
466,19368,23464
467,18282,19154
468,18286,19153
469,19330,19322
470,19329,19321
471,18988,18429
472,19365,19149
473,19364,19148
474,19367,19304
475,18574,19011
476,19366,19010
477,50248,50249
478,19055,18509
479,19063,19382
480,19057,19381
481,19059,18615
482,17617,19239
483,19406,19353
484,19407,19352
485,19425,50250
486,19424,50251
487,18803,19423
488,19409,19305
489,17822,19427
490,19429,19431
491,19441,17632
492,19440,19426
493,50253,50252
494,19103,17961
495,19437,19494
496,19436,18166
497,19438,19430
498,18611,19298
499,19490,17872
500,50261,50264
501,17921,18710
502,18478,18418
503,21134,18342
504,18434,17569
505,50265,50266
506,19261,18800
507,19262,18801
508,19544,20755
509,17800,18818
510,20040,19953
511,19744,17650
512,20277,20286
513,7800,5925
514,19960,17895
515,20088,20822
516,20598,22077
517,19936,23339
518,50260,8223
519,20108,8221
520,19543,20316
521,19042,18447
522,19043,19022
523,19044,19023
524,19056,18613
525,19058,18614
526,18138,19135
527,50268,50269
528,50270,50271
529,19328,21091
530,19327,18371
531,19326,18370
532,19331,17863
533,19332,17862
534,21060,18564
535,21062,18982
536,21067,18081
537,50272,50273
538,50274,50275
539,21044,19306
540,21420,20249
541,21045,18512
542,17987,20487
543,18519,20489
544,18825,21094
545,18826,21095
546,17602,20522
547,18827,20523
548,18098,21099
549,18108,21100
550,21101,17849
551,17821,17818
552,18296,937
553,19176,17817
554,50276,50277
555,21141,17756
556,21138,19485
557,21137,19486
558,18150,21142
559,19981,21146
560,18219,18784
561,21163,18576
562,18521,21164
563,18680,21004
564,21198,21092
565,19313,21200
566,21173,21172
567,21199,18542
568,20915,19465
569,50255,50256
570,21242,21448
571,21241,21453
572,21178,21264
573,21176,21266
574,21261,21291
575,21263,21293
576,21298,18567
577,21300,18565
578,18612,21353
579,18778,21311
580,21314,18581
581,21374,20685
582,21375,21396
583,21379,18158
584,935,21378
585,50278,20700
586,18303,21447
587,21438,21444
588,21460,17893
589,21461,21428
590,19395,21464
591,19396,21463
592,18648,21465
593,19388,17654
594,19391,18649
595,19390,18650
596,26024,21477
597,21472,18656
598,20959,21489
599,20958,21488
600,18884,21497
601,50279,50280
602,19002,21527
603,18895,21525
604,17746,21524
605,19004,21526
606,50282,50281
607,20861,21566
608,20862,21565
609,18237,21576
610,21575,18676
611,50283,21574
612,19414,21582
613,19415,21585
614,21590,18704
615,21587,18700
616,21509,20639
617,21530,18868
618,19389,17647
619,18651,17625
620,21602,20688
621,20903,21604
622,20904,21605
623,17623,21608
624,17652,21609
625,21610,18766
626,21611,18765
627,17950,21620
628,17949,21621
629,17809,17927
630,17808,17926
631,18252,17885
632,21629,18196
633,18480,21628
634,21642,18136
635,21641,18135
636,18114,21643
637,18113,21644
638,21657,21656
639,21668,21677
640,21669,21676
641,21679,21671
642,21678,21670
643,26236,21680
644,20547,21681
645,21449,21684
646,21452,21682
647,21685,18832
648,21683,18831
649,19291,21692
650,19292,21694
651,934,21695
652,21693,18947
653,21696,18945
654,21698,19349
655,21820,21709
656,21782,19373
657,21787,19375
658,21713,21135
659,21712,21136
660,18273,50284
661,18272,50285
662,17715,21724
663,17713,21725
664,18423,21720
665,18422,21723
666,17804,21728
667,21727,21729
668,21726,21730
669,18007,21738
670,18008,21737
671,21736,18804
672,21735,18944
673,17568,21744
674,21751,18665
675,21750,18664
676,21752,17852
677,21753,17853
678,21749,21160
679,21748,21159
680,21764,19746
681,19361,21777
682,19362,21778
683,19238,21776
684,21773,18145
685,21774,18144
686,21775,19309
687,21801,20488
688,21800,19089
689,17952,21808
690,18635,21807
691,21809,18556
692,21102,19506
693,19052,17408
694,19372,17423
695,21823,21796
696,21850,21788
697,21841,21832
698,21831,21824
699,19053,21299
700,19371,21297
701,21883,19428
702,19689,21889
703,21899,21888
704,1334,19400
705,18994,21902
706,21905,18264
707,17760,21903
708,21908,21904
709,22074,21907
710,18313,21911
711,21923,17788
712,21922,17789
713,22056,21931
714,22057,21934
715,21932,21446
716,21933,24624
717,18861,21927
718,21955,20859
719,21954,19227
720,21952,18129
721,21953,23323
722,21280,21924
723,21279,21965
724,21272,21914
725,21271,21915
726,18707,21384
727,20520,21975
728,20521,21972
729,17679,21974
730,17678,21971
731,21973,21256
732,21976,21255
733,21981,21978
734,21982,21977
735,22037,21987
736,22036,21986
737,21991,21984
738,21992,21985
739,21998,21993
740,22008,21994
741,22006,22002
742,20379,22003
743,22009,22026
744,21619,22044
745,21618,22045
746,22062,22046
747,22063,22047
748,18655,18176
749,22064,22066
750,22065,22067
751,22072,18177
752,50286,50287
753,50288,21810
754,22079,22076
755,22080,22075
756,22110,22094
757,22092,22054
758,50289,50290
759,50292,50295
760,50293,50296
761,28020,28022
762,28021,28023
763,28021,17380
764,28021,17375
765,28020,17382
766,28020,17389
767,22341,7849
768,22342,7850
769,22347,7851
770,50291,50294
771,22150,22909
772,22435,22619
773,22378,22800
774,22468,22801
775,50297,50298
776,50299,50300
777,50301,50302
778,50303,50304
779,50305,50306
780,50307,50308
781,23085,23084
782,17677,23101
783,50309,50310
784,50156,50157
785,50158,50159
786,23156,23165
787,23166,23173
788,23209,23335
789,22158,23221
790,21532,21594
791,21531,21593
792,21533,20633
793,21534,20632
794,21516,21572
795,21517,21573
796,20273,23301
797,20274,23302
798,17438,17420
799,17435,17421
800,23347,23341
801,17430,18221
802,17427,23430
803,23361,20922
804,21910,23467
805,23384,23399
806,23400,21884
807,17881,23423
808,17878,23424
809,23409,18053
810,23410,18054
811,17585,23412
812,17584,23413
813,23414,23525
814,23415,23524
815,23411,18336
816,1354,23426
817,21032,23447
818,21033,23448
819,20254,23453
820,20253,23454
821,23465,19705
822,19233,23425
823,19235,23422
824,12211,22102
825,23466,18263
826,17770,23477
827,50311,50312
828,50313,50314
829,23482,21351
830,23483,21350
831,23484,21349
832,23479,19686
833,23498,21387
834,23497,21388
835,23514,23552
836,23515,23548
837,23517,50315
838,50316,23516
839,23527,17870
840,19346,23536
841,19347,23537
842,23555,18629
843,23554,18630
844,18349,23556
845,18350,23557
846,23564,21397
847,23563,23581
848,23590,23584
849,23589,23585
850,23642,23635
851,23641,23636
852,18846,21381
853,50317,50318
854,23569,21144
855,23568,21145
856,23572,19036
857,23573,19035
858,21158,23570
859,21157,23571
860,17546,17412
861,17543,17413
862,17540,17416
863,20956,23689
864,20957,23688
865,20902,23700
866,23701,19778
867,18786,23342
868,23734,23764
869,23779,23796
870,23780,23795
871,23768,23778
872,50319,50320
873,50321,50322
874,23523,23810
875,23816,23812
876,23827,21386
877,23872,23860
878,23873,23861
879,17848,23866
880,17847,23867
881,23864,18500
882,23865,18501
883,23896,23876
884,23897,23880
885,23888,21786
886,23891,21785
887,23946,23892
888,23947,23893
889,23909,23898
890,24067,23922
891,24068,23921
892,24069,20255
893,23942,24012
894,17867,18763
895,23945,24010
896,21949,23963
897,21950,23964
898,23952,21789
899,21746,23969
900,21747,23970
901,18545,23971
902,18546,23972
903,19397,23977
904,23978,21427
905,23995,24020
906,50323,50324
907,24029,24600
908,50325,50326
909,18189,24048
910,24049,21928
911,24052,19316
912,19026,24053
913,19034,24056
914,24054,17578
915,24061,18677
916,17732,24060
917,24082,24388
918,20518,24085
919,20519,24086
920,24091,18372
921,24092,18373
922,17660,24093
923,17661,24094
924,24098,24004
925,24099,24003
926,24131,18599
927,18195,24132
928,24387,24133
929,18244,26586
930,24146,18504
931,24147,18503
932,18415,24144
933,18416,24145
934,24198,17373
935,18893,18815
936,24183,20250
937,24186,18987
938,24219,24212
939,24220,24211
940,24213,24109
941,24214,24108
942,24243,18362
943,24246,18360
944,21793,24247
945,50327,50328
946,24259,20327
947,24254,19201
948,24257,19202
949,1467,24258
950,50329,50330
951,50331,50332
952,24271,18860
953,24272,18859
954,24274,24329
955,24273,24328
956,24232,24225
957,24221,24295
958,24296,20929
959,24312,21139
960,24313,21140
961,17582,24310
962,17583,24311
963,24318,24319
964,24320,24324
965,18839,24365
966,18840,24366
967,24330,24347
968,24348,19088
969,18950,24349
970,24352,23043
971,18238,21571
972,24372,24253
973,24381,19315
974,18621,24380
975,18112,24398
976,18111,24397
977,17988,24395
978,17989,24396
979,50343,50344
980,24416,17784
981,24417,17785
982,50345,50346
983,50347,50348
984,24436,24430
985,24437,24431
986,18464,24438
987,23496,24440
988,23495,24439
989,23863,24602
990,24446,24252
991,24447,24456
992,24448,24462
993,24464,24475
994,24478,24501
995,24479,24502
996,24693,24562
997,24692,24561
998,24658,24549
999,50349,50350
1000,50351,50352
1001,50353,50354
1002,24569,24525
1003,24568,24524
1004,24526,24540
1005,24527,23235
1006,24529,24542
1007,24528,24543
1008,24530,25879
1009,24541,20477
1010,24559,24553
1011,24560,24556
1012,24567,24632
1013,18691,24596
1014,18239,24594
1015,21269,24610
1016,20385,24609
1017,26753,23944
1018,26756,26721
1019,24626,24628
1020,20460,24635
1021,20461,24634
1022,24640,23102
1023,24573,24690
1024,24572,24691
1025,24655,24678
1026,18445,24630
1027,24708,24716
1028,50355,50356
1029,18148,24725
1030,18149,24726
1031,24737,24732
1032,24688,24751
1033,50357,50358
1034,24750,1643
1035,24758,1645
1036,24746,24757
1037,24679,24759
1038,24762,23808
1039,24736,24733
1040,50359,50360
1041,24779,24785
1042,23932,24794
1043,23933,24793
1044,20515,24801
1045,19259,24802
1046,19270,24803
1047,50361,50362
1048,24749,50363
1049,24812,19717
1050,24811,19718
1051,19125,24813
1052,19141,24814
1053,21458,24959
1054,21459,24960
1055,20516,24823
1056,20517,24824
1057,24843,24842
1058,24847,24860
1059,24861,24360
1060,18105,24889
1061,18104,24888
1062,17673,24890
1063,17674,24887
1064,24895,24919
1065,24922,20362
1066,24936,23908
1067,20462,20788
1068,20463,20789
1069,18511,25049
1070,23336,24974
1071,23480,26349
1072,23481,26350
1073,25004,19710
1074,25003,19709
1075,25027,50364
1076,50365,25028
1077,50366,25033
1078,25051,24361
1079,25289,18025
1080,25077,21312
1081,25082,21872
1082,25113,20839
1083,25141,18976
1084,1879,24798
1085,11033,7958
1086,25180,25186
1087,18055,25182
1088,25184,25185
1089,24168,24170
1090,25215,21562
1091,25216,21561
1092,25220,25223
1093,25221,18294
1094,20611,25248
1095,25228,25229
1096,50367,50368
1097,25233,25241
1098,20233,25239
1099,25250,21956
1100,25259,25272
1101,21510,25284
1102,21511,25283
1103,19628,21473
1104,19627,21474
1105,18814,25281
1106,18687,25282
1107,18198,25303
1108,18197,25302
1109,50369,50370
1110,25312,24241
1111,25353,25352
1112,24975,25359
1113,25305,17995
1114,25304,17996
1115,17658,25306
1116,17659,25307
1117,24670,24057
1118,23112,24677
1119,24649,23113
1120,18165,19496
1121,17916,25374
1122,25379,17956
1123,25380,17958
1124,25382,18357
1125,25381,18359
1126,25416,19130
1127,25417,19132
1128,18684,25419
1129,20010,25418
1130,25420,20961
1131,25426,23931
1132,24269,25451
1133,24270,25452
1134,25449,17816
1135,25450,17815
1136,25480,25491
1137,1936,21563
1138,50371,50372
1139,25502,25510
1140,25566,25135
1141,25565,17711
1142,25567,18094
1143,25568,18092
1144,25525,25538
1145,17873,25512
1146,19299,25511
1147,19491,25513
1148,25539,19179
1149,25543,19180
1150,18491,25540
1151,18490,25544
1152,25552,25542
1153,25555,25545
1154,50373,50374
1155,21011,25514
1156,1970,25642
1157,17820,25646
1158,18075,25645
1159,19254,19031
1160,25656,25735
1161,25607,25668
1162,25693,25680
1163,50375,50376
1164,25702,20960
1165,19434,23501
1166,25797,25710
1167,25796,25711
1168,25744,25720
1169,25737,24548
1170,25739,24659
1171,25766,25778
1172,25825,25842
1173,18077,25843
1174,25847,25877
1175,25856,25874
1176,19278,25882
1177,19279,25883
1178,17593,25889
1179,17592,25887
1180,20271,25881
1181,20272,25880
1182,25890,25846
1183,21273,25891
1184,21274,25892
1185,20946,25896
1186,20947,25895
1187,50377,50378
1188,26070,24244
1189,26066,24245
1190,23312,23255
1191,18752,25915
1192,25914,18123
1193,25913,25911
1194,50379,50380
1195,50381,50382
1196,50383,50384
1197,50385,50386
1198,50387,50388
1199,23791,25986
1200,23793,25987
1201,25959,19290
1202,25963,19293
1203,25954,19289
1204,25990,21799
1205,26033,24799
1206,25394,18493
1207,25395,18492
1208,26056,25308
1209,26057,26060
1210,17615,26059
1211,20882,26053
1212,26062,26061
1213,25403,18119
1214,25402,18118
1215,25401,24415
1216,25398,18631
1217,25400,24414
1218,25399,18632
1219,26126,26119
1220,26125,26118
1221,20577,26109
1222,24009,26112
1223,22073,26110
1224,18508,26113
1225,18507,26117
1226,26106,26127
1227,26107,26128
1228,17637,16357
1229,26141,16359
1230,25232,16353
1231,26143,16355
1232,18052,16351
1233,16349,25245
1234,25578,19690
1235,25579,21745
1236,25577,50389
1237,25576,50390
1238,25574,26665
1239,25575,18140
1240,25573,19133
1241,25572,18526
1242,26144,25700
1243,26153,23431
1244,26214,26201
1245,17946,26205
1246,26017,26203
1247,26018,26207
1248,19209,17562
1249,19207,17564
1250,26245,20263
1251,18625,19188
1252,18626,26246
1253,26243,26247
1254,26252,26254
1255,19212,26412
1256,19216,26413
1257,26256,26257
1258,25396,25553
1259,25397,25556
1260,23126,23117
1261,26741,26267
1262,26740,26268
1263,26284,26291
1264,26313,26312
1265,26317,26322
1266,25001,26352
1267,25002,26351
1268,26324,26346
1269,50391,50392
1270,50393,50394
1271,1996,26357
1272,17655,1996
1273,18442,1996
1274,26363,26361
1275,26260,26258
1276,26382,26387
1277,21462,26383
1278,26012,26014
1279,26013,18284
1280,19392,26389
1281,26395,26392
1282,26421,18080
1283,26422,18079
1284,26419,25644
1285,26420,25643
1286,2058,26451
1287,21622,26467
1288,26454,24921
1289,26477,26469
1290,26647,18990
1291,26649,18993
1292,21267,26487
1293,21268,26486
1294,26480,20976
1295,26525,26744
1296,20914,19464
1297,26549,26540
1298,26550,26542
1299,26563,26559
1300,26560,24724
1301,24717,26558
1302,21553,18886
1303,26025,26579
1304,26026,26580
1305,23303,17589
1306,24031,26587
1307,26588,24152
1308,20341,23144
1309,20341,24878
1310,11866,11825
1311,11868,11831
1312,11872,11833
1313,11870,11827
1314,11874,11829
1315,11876,12896
1316,18469,21715
1317,18468,21714
1318,26600,26601
1319,26599,26602
1320,1284,22877
1321,22584,27983
1322,1144,11038
1323,19458,18389
1324,17842,18388
1325,26625,23881
1326,26642,26644
1327,26643,26645
1328,26663,18262
1329,26614,25989
1330,26615,25551
1331,25926,26618
1332,25592,26620
1333,17778,26661
1334,50395,50396
1335,50397,50398
1336,26689,22174
1337,26757,26777
1338,26755,26780
1339,26776,26768
1340,26778,26769
1341,22872,17262
1342,26725,26724
1343,26728,26732
