CN,name,Tx_node,Tx
17871,四川.洪沟/1#变压器,17871,3172
17876,四川.洪沟/1#变压器,17876,3173
17889,四川.洪沟/2#变压器,17889,3181
18799,四川.洪沟/2#变压器,18799,3182
18802,四川.洪沟/2#变压器,18802,3183
17955,四川.尖山/1#变压器,17955,3191
17944,四川.尖山/1#变压器,17944,3192
17953,四川.尖山/1#变压器,17953,3193
17960,四川.尖山/2#变压器,17960,3201
17945,四川.尖山/2#变压器,17945,3202
17954,四川.尖山/2#变压器,17954,3203
17706,四川.丹景/1#变压器,17706,3211
17693,四川.丹景/1#变压器,17693,3212
17704,四川.丹景/1#变压器,17704,3213
17709,四川.丹景/2#变压器,17709,3221
17694,四川.丹景/2#变压器,17694,3222
17705,四川.丹景/2#变压器,17705,3223
20572,四川.南桠河厂/1#变压器,20572,3241
20567,四川.南桠河厂/1#变压器,20567,3242
20569,四川.南桠河厂/1#变压器,20569,3243
18309,四川.石板箐/1#变压器,18309,3251
18297,四川.石板箐/1#变压器,18297,3252
18307,四川.石板箐/1#变压器,18307,3253
18311,四川.石板箐/2#变压器,18311,3261
18298,四川.石板箐/2#变压器,18298,3262
18308,四川.石板箐/2#变压器,18308,3263
18356,四川.蜀州/1#变压器,18356,3271
18348,四川.蜀州/1#变压器,18348,3272
18353,四川.蜀州/1#变压器,18353,3273
7605,四川.耿达厂/3#变压器,7605,3281
20597,四川.耿达厂/3#变压器,20597,3282
26822,四川.耿达厂/3#变压器,26822,3283
19206,四川.资阳/1#变压器,19206,3291
19126,四川.资阳/1#变压器,19126,3292
19128,四川.资阳/1#变压器,19128,3293
19205,四川.资阳/3#变压器,19205,3301
19127,四川.资阳/3#变压器,19127,3302
19129,四川.资阳/3#变压器,19129,3303
41392,四川.资阳/2#变压器,41392,3311
20608,四川.资阳/2#变压器,20608,3312
20609,四川.资阳/2#变压器,20609,3313
5374,四川.姚河坝厂/1#变压器,5374,3331
5379,四川.姚河坝厂/1#变压器,5379,3332
79,四川.姚河坝厂/1#变压器,79,3333
18811,四川.太平驿厂/5#变压器,18811,3341
26823,四川.太平驿厂/5#变压器,26823,3342
26840,四川.太平驿厂/5#变压器,26840,3343
7666,四川.新平厂/205#变压器,7666,3351
26844,四川.新平厂/205#变压器,26844,3352
26843,四川.新平厂/205#变压器,26843,3353
18989,四川.富乐/2#变压器,18989,3361
19038,四川.富乐/2#变压器,19038,3362
19046,四川.富乐/2#变压器,19046,3363
19047,四川.富乐/1#变压器,19047,3371
19037,四川.富乐/1#变压器,19037,3372
19045,四川.富乐/1#变压器,19045,3373
21871,四川.雅安/1#变压器,21871,3381
20323,四川.雅安/1#变压器,20323,3382
20324,四川.雅安/1#变压器,20324,3383
19049,四川.月城/1#变压器,19049,3391
19060,四川.月城/1#变压器,19060,3392
19061,四川.月城/1#变压器,19061,3393
19054,四川.月城/2#变压器,19054,3401
19410,四川.月城/2#变压器,19410,3402
19062,四川.月城/2#变压器,19062,3403
19403,四川.昭化/1#变压器,19403,3411
19386,四川.昭化/1#变压器,19386,3412
19398,四川.昭化/1#变压器,19398,3413
19402,四川.昭化/2#变压器,19402,3421
19387,四川.昭化/2#变压器,19387,3422
19399,四川.昭化/2#变压器,19399,3423
8642,四川.昭化/3#变压器,8642,3431
20981,四川.昭化/3#变压器,20981,3432
20982,四川.昭化/3#变压器,20982,3433
19337,四川.遂宁/1#变压器,19337,3441
19324,四川.遂宁/1#变压器,19324,3442
19333,四川.遂宁/1#变压器,19333,3443
19336,四川.遂宁/2#变压器,19336,3451
19325,四川.遂宁/2#变压器,19325,3452
19334,四川.遂宁/2#变压器,19334,3453
8717,四川.遂宁/3#变压器,8717,3461
21037,四川.遂宁/3#变压器,21037,3462
21038,四川.遂宁/3#变压器,21038,3463
21122,四川.河门口厂/12#变压器,21122,3531
21121,四川.河门口厂/12#变压器,21121,3532
21245,四川.河门口厂/12#变压器,21245,3533
18355,四川.蜀州/2#变压器,18355,3551
21171,四川.蜀州/2#变压器,21171,3552
21169,四川.蜀州/2#变压器,21169,3553
21174,四川.南天/1#变压器,21174,3561
21179,四川.南天/1#变压器,21179,3562
21180,四川.南天/1#变压器,21180,3563
21265,四川.嘉州/1#变压器,21265,3621
21289,四川.嘉州/1#变压器,21289,3622
21285,四川.嘉州/1#变压器,21285,3623
41393,四川.嘉州/2#变压器,41393,3631
41395,四川.嘉州/2#变压器,41395,3632
41394,四川.嘉州/2#变压器,41394,3633
21258,四川.嘉州/3#变压器,21258,3641
21290,四川.嘉州/3#变压器,21290,3642
21287,四川.嘉州/3#变压器,21287,3643
21313,四川.石棉/3#变压器,21313,3651
21315,四川.石棉/3#变压器,21315,3652
846,四川.石棉/3#变压器,846,3653
21376,四川.色尔古/1#变压器,21376,3711
21389,四川.色尔古/1#变压器,21389,3712
21391,四川.色尔古/1#变压器,21391,3713
21377,四川.色尔古/2#变压器,21377,3721
21390,四川.色尔古/2#变压器,21390,3722
21392,四川.色尔古/2#变压器,21392,3723
21439,四川.葫芦坝厂/2#变压器,21439,3791
21440,四川.葫芦坝厂/2#变压器,21440,3792
21441,四川.葫芦坝厂/2#变压器,21441,3793
18210,四川.南华/1#变压器,18210,3801
26919,四川.南华/1#变压器,26919,3802
26920,四川.南华/1#变压器,26920,3803
18486,四川.武侯/1#变压器,18486,3811
26903,四川.武侯/1#变压器,26903,3812
26901,四川.武侯/1#变压器,26901,3813
18487,四川.武侯/2#变压器,18487,3821
26904,四川.武侯/2#变压器,26904,3822
26902,四川.武侯/2#变压器,26902,3823
18476,四川.万安/1#变压器,18476,3831
26907,四川.万安/1#变压器,26907,3832
26909,四川.万安/1#变压器,26909,3833
18477,四川.万安/2#变压器,18477,3841
26908,四川.万安/2#变压器,26908,3842
26910,四川.万安/2#变压器,26910,3843
17859,四川.广惠/1#变压器,17859,3851
26906,四川.广惠/1#变压器,26906,3852
26905,四川.广惠/1#变压器,26905,3853
17783,四川.发展/3#变压器,17783,3861
26921,四川.发展/3#变压器,26921,3862
26922,四川.发展/3#变压器,26922,3863
17782,四川.发展/2#变压器,17782,3871
26923,四川.发展/2#变压器,26923,3872
26924,四川.发展/2#变压器,26924,3873
17799,四川.丰谷/2#变压器,17799,3881
26931,四川.丰谷/2#变压器,26931,3882
26932,四川.丰谷/2#变压器,26932,3883
17798,四川.丰谷/1#变压器,17798,3891
26930,四川.丰谷/1#变压器,26930,3892
26929,四川.丰谷/1#变压器,26929,3893
17570,四川.安顺桥/1#变压器,17570,3901
26928,四川.安顺桥/1#变压器,26928,3902
26927,四川.安顺桥/1#变压器,26927,3903
18616,四川.永兴/1#变压器,18616,3911
26915,四川.永兴/1#变压器,26915,3912
26917,四川.永兴/1#变压器,26917,3913
18617,四川.永兴/2#变压器,18617,3921
26916,四川.永兴/2#变压器,26916,3922
26918,四川.永兴/2#变压器,26918,3923
19106,四川.城南/1#变压器,19106,3931
26933,四川.城南/1#变压器,26933,3932
26934,四川.城南/1#变压器,26934,3933
19107,四川.城南/2#变压器,19107,3941
26935,四川.城南/2#变压器,26935,3942
26936,四川.城南/2#变压器,26936,3943
18694,四川.朱坎/1#变压器,18694,3951
26937,四川.朱坎/1#变压器,26937,3952
26939,四川.朱坎/1#变压器,26939,3953
18695,四川.朱坎/2#变压器,18695,3961
26938,四川.朱坎/2#变压器,26938,3962
26940,四川.朱坎/2#变压器,26940,3963
18657,四川.云西/1#变压器,18657,3971
26911,四川.云西/1#变压器,26911,3972
26913,四川.云西/1#变压器,26913,3973
18658,四川.云西/2#变压器,18658,3981
26912,四川.云西/2#变压器,26912,3982
26914,四川.云西/2#变压器,26914,3983
18600,四川.银江/1#变压器,18600,3991
26941,四川.银江/1#变压器,26941,3992
26942,四川.银江/1#变压器,26942,3993
18601,四川.银江/2#变压器,18601,4001
26943,四川.银江/2#变压器,26943,4002
26944,四川.银江/2#变压器,26944,4003
18339,四川.舒平/1#变压器,18339,4011
26949,四川.舒平/1#变压器,26949,4012
26950,四川.舒平/1#变压器,26950,4013
18340,四川.舒平/2#变压器,18340,4021
26951,四川.舒平/2#变压器,26951,4022
26952,四川.舒平/2#变压器,26952,4023
17573,四川.安县/1#变压器,17573,4031
26947,四川.安县/1#变压器,26947,4032
26946,四川.安县/1#变压器,26946,4033
17574,四川.安县/2#变压器,17574,4041
26948,四川.安县/2#变压器,26948,4042
26945,四川.安县/2#变压器,26945,4043
17980,四川.金鹅/1#变压器,17980,4051
26955,四川.金鹅/1#变压器,26955,4052
26956,四川.金鹅/1#变压器,26956,4053
18954,四川.金鹅/2#变压器,18954,4061
26957,四川.金鹅/2#变压器,26957,4062
26958,四川.金鹅/2#变压器,26958,4063
18377,四川.松柏/1#变压器,18377,4071
26959,四川.松柏/1#变压器,26959,4072
26960,四川.松柏/1#变压器,26960,4073
17684,四川.代市/1#变压器,17684,4081
26953,四川.代市/1#变压器,26953,4082
26961,四川.代市/1#变压器,26961,4083
17685,四川.代市/2#变压器,17685,4091
26954,四川.代市/2#变压器,26954,4092
26962,四川.代市/2#变压器,26962,4093
19080,四川.金牛/3#变压器,19080,4101
26969,四川.金牛/3#变压器,26969,4102
26968,四川.金牛/3#变压器,26968,4103
19084,四川.金牛/2#变压器,19084,4111
26970,四川.金牛/2#变压器,26970,4112
26967,四川.金牛/2#变压器,26967,4113
18383,四川.松林/1#变压器,18383,4121
26971,四川.松林/1#变压器,26971,4122
26972,四川.松林/1#变压器,26972,4123
18781,四川.松林/2#变压器,18781,4131
26973,四川.松林/2#变压器,26973,4132
26974,四川.松林/2#变压器,26974,4133
18636,四川.玉观/2#变压器,18636,4141
26988,四川.玉观/2#变压器,26988,4142
26987,四川.玉观/2#变压器,26987,4143
19498,四川.下坪/1#变压器,19498,4151
26986,四川.下坪/1#变压器,26986,4152
26985,四川.下坪/1#变压器,26985,4153
19499,四川.下坪/2#变压器,19499,4161
26984,四川.下坪/2#变压器,26984,4162
26983,四川.下坪/2#变压器,26983,4163
17922,四川.回龙/1#变压器,17922,4171
26982,四川.回龙/1#变压器,26982,4172
26981,四川.回龙/1#变压器,26981,4173
17923,四川.回龙/2#变压器,17923,4181
26980,四川.回龙/2#变压器,26980,4182
26979,四川.回龙/2#变压器,26979,4183
19183,四川.渠县/1#变压器,19183,4191
26994,四川.渠县/1#变压器,26994,4192
26993,四川.渠县/1#变压器,26993,4193
19184,四川.渠县/2#变压器,19184,4201
26996,四川.渠县/2#变压器,26996,4202
26995,四川.渠县/2#变压器,26995,4203
18009,四川.九里/1#变压器,18009,4211
26991,四川.九里/1#变压器,26991,4212
26990,四川.九里/1#变压器,26990,4213
18010,四川.九里/2#变压器,18010,4221
26992,四川.九里/2#变压器,26992,4222
26989,四川.九里/2#变压器,26989,4223
18891,四川.孜岩/1#变压器,18891,4231
27003,四川.孜岩/1#变压器,27003,4232
27002,四川.孜岩/1#变压器,27002,4233
18709,四川.孜岩/2#变压器,18709,4241
27001,四川.孜岩/2#变压器,27001,4242
27000,四川.孜岩/2#变压器,27000,4243
18073,四川.柳池/1#变压器,18073,4251
27405,四川.柳池/1#变压器,27405,4252
26999,四川.柳池/1#变压器,26999,4253
18074,四川.柳池/2#变压器,18074,4261
26998,四川.柳池/2#变压器,26998,4262
26997,四川.柳池/2#变压器,26997,4263
19483,四川.园湾/1#变压器,19483,4271
27007,四川.园湾/1#变压器,27007,4272
27006,四川.园湾/1#变压器,27006,4273
19484,四川.园湾/2#变压器,19484,4281
27005,四川.园湾/2#变压器,27005,4282
27004,四川.园湾/2#变压器,27004,4283
18000,四川.静云/1#变压器,18000,4291
27008,四川.静云/1#变压器,27008,4292
27009,四川.静云/1#变压器,27009,4293
19064,四川.建丰/1#变压器,19064,4301
27016,四川.建丰/1#变压器,27016,4302
27017,四川.建丰/1#变压器,27017,4303
19065,四川.建丰/2#变压器,19065,4311
27014,四川.建丰/2#变压器,27014,4312
27015,四川.建丰/2#变压器,27015,4313
18397,四川.太和/1#变压器,18397,4321
27012,四川.太和/1#变压器,27012,4322
27013,四川.太和/1#变压器,27013,4323
18398,四川.太和/2#变压器,18398,4331
27010,四川.太和/2#变压器,27010,4332
27011,四川.太和/2#变压器,27011,4333
17786,四川.范坝/1#变压器,17786,4341
27018,四川.范坝/1#变压器,27018,4342
27019,四川.范坝/1#变压器,27019,4343
17787,四川.范坝/2#变压器,17787,4351
27020,四川.范坝/2#变压器,27020,4352
27021,四川.范坝/2#变压器,27021,4353
18048,四川.凉水井/1#变压器,18048,4361
27026,四川.凉水井/1#变压器,27026,4362
27027,四川.凉水井/1#变压器,27027,4363
18049,四川.凉水井/2#变压器,18049,4371
27028,四川.凉水井/2#变压器,27028,4372
27029,四川.凉水井/2#变压器,27029,4373
17993,四川.荆溪/1#变压器,17993,4381
27022,四川.荆溪/1#变压器,27022,4382
27023,四川.荆溪/1#变压器,27023,4383
17994,四川.荆溪/2#变压器,17994,4391
27024,四川.荆溪/2#变压器,27024,4392
27025,四川.荆溪/2#变压器,27025,4393
19014,四川.新钒/1#变压器,19014,4401
27038,四川.新钒/1#变压器,27038,4402
27037,四川.新钒/1#变压器,27037,4403
19015,四川.新钒/2#变压器,19015,4411
27036,四川.新钒/2#变压器,27036,4412
27035,四川.新钒/2#变压器,27035,4413
21130,四川.向义/1#变压器,21130,4421
27031,四川.向义/1#变压器,27031,4422
27032,四川.向义/1#变压器,27032,4423
21244,四川.向义/2#变压器,21244,4431
27033,四川.向义/2#变压器,27033,4432
27034,四川.向义/2#变压器,27034,4433
18645,四川.袁家坝/1#变压器,18645,4441
27039,四川.袁家坝/1#变压器,27039,4442
27040,四川.袁家坝/1#变压器,27040,4443
18646,四川.袁家坝/2#变压器,18646,4451
27041,四川.袁家坝/2#变压器,27041,4452
27042,四川.袁家坝/2#变压器,27042,4453
18440,四川.天明/2#变压器,18440,4461
27043,四川.天明/2#变压器,27043,4462
27368,四川.天明/2#变压器,27368,4463
18441,四川.天明/3#变压器,18441,4471
27044,四川.天明/3#变压器,27044,4472
27369,四川.天明/3#变压器,27369,4473
20231,四川.棉丰/1#变压器,20231,4481
27051,四川.棉丰/1#变压器,27051,4482
27050,四川.棉丰/1#变压器,27050,4483
20232,四川.棉丰/2#变压器,20232,4491
27052,四川.棉丰/2#变压器,27052,4492
27049,四川.棉丰/2#变压器,27049,4493
18132,四川.马家/1#变压器,18132,4501
27055,四川.马家/1#变压器,27055,4502
27054,四川.马家/1#变压器,27054,4503
18133,四川.马家/2#变压器,18133,4511
27056,四川.马家/2#变压器,27056,4512
27053,四川.马家/2#变压器,27053,4513
26139,四川.孙家坝/1#变压器,26139,4521
27047,四川.孙家坝/1#变压器,27047,4522
27046,四川.孙家坝/1#变压器,27046,4523
26137,四川.孙家坝/2#变压器,26137,4531
27048,四川.孙家坝/2#变压器,27048,4532
27045,四川.孙家坝/2#变压器,27045,4533
18056,四川.林庄/1#变压器,18056,4541
27057,四川.林庄/1#变压器,27057,4542
27059,四川.林庄/1#变压器,27059,4543
18057,四川.林庄/2#变压器,18057,4551
27058,四川.林庄/2#变压器,27058,4552
27060,四川.林庄/2#变压器,27060,4553
18116,四川.隆兴/1#变压器,18116,4561
27061,四川.隆兴/1#变压器,27061,4562
27062,四川.隆兴/1#变压器,27062,4563
18117,四川.隆兴/2#变压器,18117,4571
27063,四川.隆兴/2#变压器,27063,4572
27030,四川.隆兴/2#变压器,27030,4573
17671,四川.大面铺/1#变压器,17671,4581
27064,四川.大面铺/1#变压器,27064,4582
27066,四川.大面铺/1#变压器,27066,4583
17672,四川.大面铺/2#变压器,17672,4591
27065,四川.大面铺/2#变压器,27065,4592
27067,四川.大面铺/2#变压器,27067,4593
18274,四川.青龙山/1#变压器,18274,4601
27068,四川.青龙山/1#变压器,27068,4602
27069,四川.青龙山/1#变压器,27069,4603
18275,四川.青龙山/2#变压器,18275,4611
27070,四川.青龙山/2#变压器,27070,4612
27071,四川.青龙山/2#变压器,27071,4613
19263,四川.永定桥/2#变压器,19263,4621
27074,四川.永定桥/2#变压器,27074,4622
27075,四川.永定桥/2#变压器,27075,4623
19264,四川.永定桥/3#变压器,19264,4631
27072,四川.永定桥/3#变压器,27072,4632
27073,四川.永定桥/3#变压器,27073,4633
18496,四川.五里堆/1#变压器,18496,4641
27081,四川.五里堆/1#变压器,27081,4642
27078,四川.五里堆/1#变压器,27078,4643
18497,四川.五里堆/2#变压器,18497,4651
27077,四川.五里堆/2#变压器,27077,4652
27076,四川.五里堆/2#变压器,27076,4653
18498,四川.五里堆/3#变压器,18498,4661
27079,四川.五里堆/3#变压器,27079,4662
27080,四川.五里堆/3#变压器,27080,4663
18126,四川.马店河/1#变压器,18126,4671
26963,四川.马店河/1#变压器,26963,4672
26965,四川.马店河/1#变压器,26965,4673
18127,四川.马店河/2#变压器,18127,4681
26964,四川.马店河/2#变压器,26964,4682
26966,四川.马店河/2#变压器,26966,4683
19502,四川.青白江/1#变压器,19502,4691
26897,四川.青白江/1#变压器,26897,4692
26898,四川.青白江/1#变压器,26898,4693
19504,四川.青白江/3#变压器,19504,4701
27082,四川.青白江/3#变压器,27082,4702
27083,四川.青白江/3#变压器,27083,4703
18624,四川.余家/1#变压器,18624,4711
26876,四川.余家/1#变压器,26876,4712
27084,四川.余家/1#变压器,27084,4713
18770,四川.余家/2#变压器,18770,4721
26894,四川.余家/2#变压器,26894,4722
27085,四川.余家/2#变压器,27085,4723
18628,四川.鱼凫/3#变压器,18628,4731
27089,四川.鱼凫/3#变压器,27089,4732
27090,四川.鱼凫/3#变压器,27090,4733
18627,四川.鱼凫/2#变压器,18627,4741
27087,四川.鱼凫/2#变压器,27087,4742
27088,四川.鱼凫/2#变压器,27088,4743
18529,四川.新棉/1#变压器,18529,4751
26874,四川.新棉/1#变压器,26874,4752
27092,四川.新棉/1#变压器,27092,4753
18530,四川.新棉/2#变压器,18530,4761
26885,四川.新棉/2#变压器,26885,4762
27091,四川.新棉/2#变压器,27091,4763
17892,四川.洪江/1#变压器,17892,4771
26882,四川.洪江/1#变压器,26882,4772
27093,四川.洪江/1#变压器,27093,4773
18456,四川.亭子/1#变压器,18456,4781
26871,四川.亭子/1#变压器,26871,4782
27097,四川.亭子/1#变压器,27097,4783
18457,四川.亭子/2#变压器,18457,4791
26884,四川.亭子/2#变压器,26884,4792
27096,四川.亭子/2#变压器,27096,4793
18462,四川.桐子林/1#变压器,18462,4801
26870,四川.桐子林/1#变压器,26870,4802
27095,四川.桐子林/1#变压器,27095,4803
19503,四川.青白江/2#变压器,19503,4811
27103,四川.青白江/2#变压器,27103,4812
27086,四川.青白江/2#变压器,27086,4813
18540,四川.新市/1#变压器,18540,4821
27107,四川.新市/1#变压器,27107,4822
27106,四川.新市/1#变压器,27106,4823
18541,四川.新市/2#变压器,18541,4831
27105,四川.新市/2#变压器,27105,4832
27104,四川.新市/2#变压器,27104,4833
19722,四川.长田/1#变压器,19722,4841
27099,四川.长田/1#变压器,27099,4842
27100,四川.长田/1#变压器,27100,4843
19721,四川.长田/2#变压器,19721,4851
