id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,刀闸名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
6071,四川.渠县/220kV.2682刀闸,220,1,6776,678,四川.渠县.220.4117,四川.渠县.220.4117
6072,四川.渠县/220kV.2686刀闸,220,1,19143,6775,四川.渠县.220.nd19143,四川.渠县.220.nd6775
6073,四川.石门/220kV.2011刀闸,220,1,681,6777,四川.石门.220.4126,四川.石门.220.4126
6074,四川.石门/220kV.2012刀闸,220,0,680,6777,四川.石门.220.4126,四川.石门.220.4126
6075,四川.石门/220kV.2016刀闸,220,1,6778,19144,四川.石门.220.4126,四川.石门.220.4126
6076,四川.石门/220kV.2021刀闸,220,0,681,6779,四川.石门.220.4126,四川.石门.220.4126
6077,四川.石门/220kV.2022刀闸,220,1,680,6779,四川.石门.220.4126,四川.石门.220.4126
6078,四川.石门/220kV.2026刀闸,220,1,6780,19145,四川.石门.220.4126,四川.石门.220.4126
6079,四川.石门/220kV.2121刀闸,220,1,681,6782,四川.石门.220.4126,四川.石门.220.4126
6080,四川.石门/220kV.2122刀闸,220,1,680,6781,四川.石门.220.4126,四川.石门.220.4126
6081,四川.石门/220kV.2611刀闸,220,1,6784,681,四川.石门.220.4126,四川.石门.220.4126
6082,四川.石门/220kV.2612刀闸,220,0,6784,680,四川.石门.220.4126,四川.石门.220.4126
6083,四川.石门/220kV.2616刀闸,220,1,19146,6783,四川.石门.220.4126,四川.石门.220.4126
6084,四川.石门/220kV.2621刀闸,220,0,6786,681,四川.石门.220.4126,四川.石门.220.4126
6085,四川.石门/220kV.2622刀闸,220,1,6786,680,四川.石门.220.4126,四川.石门.220.4126
6086,四川.石门/220kV.2626刀闸,220,1,19147,6785,四川.石门.220.4126,四川.石门.220.4126
6087,四川.草池/220kV.2616刀闸,220,1,19148,7348,四川.草池.220.4212,四川.草池.220.4212
6088,四川.草池/220kV.2621刀闸,220,0,7351,621,四川.草池.220.4212,四川.草池.220.4212
6089,四川.草池/220kV.2622刀闸,220,1,7351,620,四川.草池.220.4212,四川.草池.220.4212
6090,四川.草池/220kV.2626刀闸,220,1,19149,7350,四川.草池.220.4212,四川.草池.220.4212
6091,四川.大方/220kV.2651刀闸,220,1,7353,121,四川.大方.220.592,四川.大方.220.592
