id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,断路器名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
2539,四川.高石/220kV.268开关,220,1,6877,6878,四川.高石.220.4683,四川.高石.220.4683
2540,四川.文山/220kV.202开关,220,0,6879,6880,四川.文山.220.nd6879,四川.文山.220.nd6880
2541,四川.文山/220kV.203开关,220,0,6881,6882,四川.文山.220.nd6881,四川.文山.220.nd6882
2542,四川.文山/220kV.251开关,220,1,6883,6884,四川.文山.220.nd6883,四川.文山.220.nd6884
2543,四川.西坝/220kV.203开关,220,0,28984,28985,四川.西坝.220.nd28984,四川.西坝.220.nd28985
2544,四川.西坝/220kV.204开关,220,0,28986,28987,四川.西坝.220.nd28986,四川.西坝.220.nd28987
2545,四川.西坝/220kV.212开关,220,0,28988,28989,四川.西坝.220.nd28988,四川.西坝.220.nd28989
2546,四川.会理/220kV.201开关,220,1,6885,6886,四川.会理.220.4187,四川.会理.220.4187
2547,四川.会理/220kV.202开关,220,1,6887,6888,四川.会理.220.4187,四川.会理.220.4187
2548,四川.会理/220kV.212开关,220,1,6889,6890,四川.会理.220.4187,四川.会理.220.4187
2549,四川.会理/220kV.263开关,220,1,6891,6892,四川.会理.220.4187,四川.会理.220.4187
2550,四川.会理/220kV.264开关,220,1,6893,6894,四川.会理.220.4187,四川.会理.220.4187
2551,四川.会理/220kV.265开关,220,1,6895,6896,四川.会理.220.4187,四川.会理.220.4187
2552,四川.会理/220kV.266开关,220,1,6897,6898,四川.会理.220.4187,四川.会理.220.4187
2553,四川.康定/220kV.262开关,220,1,6899,6900,四川.康定.220.4158,四川.康定.220.4158
2554,四川.康定/220kV.263开关,220,1,6901,6902,四川.康定.220.4158,四川.康定.220.4158
2555,四川.康定/220kV.264开关,220,1,6903,6904,四川.康定.220.4158,四川.康定.220.4158
2556,四川.天宫庙/220kV.201开关,220,1,6905,6906,四川.天宫庙.220.4194,四川.天宫庙.220.4194
2557,四川.天宫庙/220kV.202开关,220,1,6907,6908,四川.天宫庙.220.4194,四川.天宫庙.220.4194
2558,四川.天宫庙/220kV.212开关,220,1,6909,6910,四川.天宫庙.220.4194,四川.天宫庙.220.4194
2559,四川.天宫庙/220kV.263开关,220,1,6911,6912,四川.天宫庙.220.4194,四川.天宫庙.220.4194
2560,四川.天宫庙/220kV.264开关,220,1,6913,6914,四川.天宫庙.220.4194,四川.天宫庙.220.4194
2561,四川.群文/220kV.252开关,220,1,6915,6916,四川.群文.220.4432,四川.群文.220.4432
2562,四川.文山/220kV.252开关,220,1,6917,6918,四川.文山.220.nd6917,四川.文山.220.nd6918
