component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
470,四川.豆坝/10.5kV.931电容器,10,四川.豆坝,50423,-1,574
471,四川.豆坝/10.5kV.932电容器,10,四川.豆坝,50424,-1,574
472,四川.豆坝/10.5kV.933电容器,10,四川.豆坝,50425,-1,574
473,四川.豆坝/10.5kV.934电容器,10,四川.豆坝,50426,-1,574
474,四川.豆坝/10.5kV.901电抗器,10,四川.豆坝,50427,-1,574
475,四川.豆坝/10.5kV.902电抗器,10,四川.豆坝,50428,-1,574
476,国调.德阳换流站/500kV.5611电容器,500,国调.德阳换流站,11517,0,1067
477,国调.德阳换流站/500kV.5612电容器,500,国调.德阳换流站,11519,0,1067
478,国调.德阳换流站/500kV.5613电容器,500,国调.德阳换流站,11521,0,1067
479,国调.德阳换流站/500kV.5614电容器,500,国调.德阳换流站,11523,0,1067
480,国调.德阳换流站/500kV.5621电容器,500,国调.德阳换流站,11525,0,1067
481,国调.德阳换流站/500kV.5622电容器,500,国调.德阳换流站,11527,0,1067
482,国调.德阳换流站/500kV.5623电容器,500,国调.德阳换流站,11529,0,1067
483,国调.德阳换流站/500kV.5624电容器,500,国调.德阳换流站,11531,0,1067
484,国调.德阳换流站/500kV.5632电容器,500,国调.德阳换流站,11535,0,1067
485,国调.德阳换流站/500kV.5633电容器,500,国调.德阳换流站,11537,0,1067
486,国调.德阳换流站/500kV.5634电容器,500,国调.德阳换流站,11539,0,1067
487,国调.德阳换流站/500kV.5631电容器,500,国调.德阳换流站,11533,0,1067
488,四川.木里/500kV.里月一线电抗器,500,西南.木里站,50429,-1,958
489,四川.木里/500kV.里月二线电抗器,500,西南.木里站,50430,-1,958
490,四川.甘孜/220kV.母线电抗器,220,四川.甘孜,50431,-1,1377
491,四川.石渠/110kV.甘石线电抗器,110,四川.石渠,50432,-1,1384
492,四川.石渠/10.5kV.电抗Ⅰ路电抗器,10,四川.石渠,11953,-1,1383
493,四川.石渠/10.5kV.电抗Ⅱ路电抗器,10,四川.石渠,11954,-1,1383
494,四川.石渠/10.5kV.电容Ⅱ路电容器,10,四川.石渠,23321,-1,1383
495,四川.石渠/10.5kV.电容Ⅰ路电容器,10,四川.石渠,23322,-1,1383
496,四川.甘孜/35kV.电抗Ⅷ路电抗器,35,四川.甘孜,11978,0,1379
497,四川.甘孜/35kV.电抗Ⅶ路电抗器,35,四川.甘孜,11976,0,1379
498,四川.甘孜/35kV.电抗VⅠ路电抗器,35,四川.甘孜,11974,0,1379
499,四川.甘孜/35kV.电抗V路电抗器,35,四川.甘孜,11972,0,1379
500,四川.甘孜/35kV.电抗Ⅳ路电抗器,35,四川.甘孜,11992,0,1379
501,四川.甘孜/35kV.电抗Ⅲ路电抗器,35,四川.甘孜,11990,0,1379
502,四川.甘孜/35kV.电抗Ⅱ路电抗器,35,四川.甘孜,11988,0,1379
503,四川.甘孜/35kV.电抗Ⅰ路电抗器,35,四川.甘孜,11986,0,1379
504,四川.普提/35kV.1-1#电抗器,35,西南.普提站,12034,-1,200
505,四川.普提/35kV.1-2#电抗器,35,西南.普提站,12036,-1,200
