ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
40,40,0.020000,5.000000,5.000000,5.000000,8.500000,0.020000,1.650000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.190000,0.020000,0.100000,0.100000,0.180000,0.020000,0.020000,-0.020000,____
41,41,0.020000,5.000000,5.000000,5.000000,16.000000,0.020000,1.150000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.180000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,___#1_
42,42,0.020000,6.000000,6.000000,6.000000,1.363700,0.020000,1.110000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.300000,0.030000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,_____
43,43,0.020000,6.000000,6.000000,6.000000,1.384600,0.020000,1.030000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.210000,0.030000,0.100000,0.100000,0.270000,0.030000,0.050000,-0.050000,_____
44,44,0.020000,5.000000,5.000000,5.000000,2.200000,0.020000,0.800000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.200000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
45,45,0.020000,5.000000,5.000000,5.000000,2.236000,0.020000,0.800000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.200000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
46,46,0.020000,6.000000,6.000000,6.000000,1.458400,0.020000,1.090000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,0.000000,3.000000,0.300000,0.040000,0.100000,0.100000,0.400000,0.040000,0.050000,-0.050000,_____
47,47,0.010000,6.000000,6.000000,6.000000,2.130000,0.010000,0.980000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.300000,0.030000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,_____
48,48,0.020000,5.000000,5.000000,5.000000,1.639300,0.020000,0.730000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.160000,0.020000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,
49,49,0.020000,5.000000,5.000000,5.000000,0.514403,0.020000,0.638000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.180000,0.020000,0.500000,1.000000,0.200000,0.030000,0.050000,-0.050000,___#1
50,50,0.020000,5.000000,5.000000,5.000000,0.514403,0.020000,0.638000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,10.000000,0.180000,0.020000,0.500000,1.000000,0.200000,0.030000,0.050000,-0.050000,___2~4
51,51,0.020000,5.000000,5.000000,5.000000,0.391200,0.020000,0.520000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.220000,0.020000,0.010000,0.010000,0.200000,0.020000,0.100000,-0.100000,__#1
52,52,0.020000,5.000000,5.000000,5.000000,0.391000,0.020000,0.520000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.220000,0.020000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,__3#4
53,53,0.020000,6.000000,6.000000,6.000000,1.700000,0.020000,1.030000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.180000,0.020000,1.000000,1.000000,0.270000,0.030000,0.050000,-0.050000,_____
54,54,0.020000,5.000000,5.000000,5.000000,3.333333,0.020000,0.760000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.500000,0.190000,0.020000,0.100000,0.100000,0.200000,0.030000,0.050000,-0.050000,__#2#1
55,55,0.020000,5.000000,5.000000,5.000000,3.333333,0.020000,0.760000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,__#3
56,56,0.020000,6.000000,6.000000,6.000000,2.247000,0.020000,0.970000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.240000,0.040000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,___3_
57,57,0.020000,5.000000,5.000000,5.000000,2.742000,0.020000,0.860000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.150000,0.010000,0.100000,0.100000,0.260000,0.020000,0.050000,-0.050000,_____
58,58,0.020000,7.000000,7.000000,7.000000,0.283000,0.020000,0.920000,7.000000,7.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.160000,0.030000,0.010000,0.010000,0.200000,0.030000,0.100000,-0.100000,27
59,59,0.020000,5.000000,5.000000,5.000000,0.629600,0.020000,0.770000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.200000,0.020000,0.010000,0.010000,0.300000,0.030000,0.050000,-0.050000,
60,60,0.020000,6.000000,6.000000,6.000000,1.416600,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.300000,0.030000,1.000000,1.000000,0.210000,0.030000,0.050000,-0.050000,_____
61,61,0.020000,6.000000,6.000000,6.000000,1.118000,0.020000,1.000000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,3.000000,0.200000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,_____
62,62,0.020000,5.000000,5.000000,5.000000,1.458364,0.020000,0.708000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.020000,0.100000,0.100000,0.200000,0.030000,0.100000,-0.100000,__#3
63,63,0.020000,5.000000,5.000000,5.000000,0.150000,0.020000,0.540000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,15.000000,0.100000,0.060000,0.200000,0.070000,0.500000,0.100000,0.100000,-0.100000,___5#6
64,64,0.020000,5.000000,5.000000,5.000000,0.150000,0.020000,0.540000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,15.000000,0.100000,0.060000,0.500000,0.100000,0.200000,0.070000,0.100000,-0.100000,___5#6
