id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,刀闸名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1874,四川.回龙/220kV.2023刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2510,17923,46,46
1875,四川.回龙/220kV.2121刀闸,220,四川.回龙.220.446,四川.回龙.220.446,167,3523,46,46
1876,四川.回龙/220kV.2122刀闸,220,四川.回龙.220.446,四川.回龙.220.446,168,3522,46,46
1877,四川.回龙/220kV.2611刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2512,167,46,46
1878,四川.回龙/220kV.2612刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2512,168,46,46
1879,四川.回龙/220kV.2616刀闸,220,四川.回龙.220.446,四川.回龙.220.446,17924,2511,46,46
1880,四川.回龙/220kV.2621刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2514,167,46,46
1881,四川.回龙/220kV.2622刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2514,168,46,46
1882,四川.回龙/220kV.2626刀闸,220,四川.回龙.220.446,四川.回龙.220.446,17925,2513,46,46
1883,四川.回龙/220kV.2631刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2516,167,46,46
1884,四川.回龙/220kV.2632刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2516,168,46,46
1885,四川.回龙/220kV.2636刀闸,220,四川.回龙.220.446,四川.回龙.220.446,17926,2515,46,46
1886,四川.回龙/220kV.2641刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2518,167,46,46
1887,四川.回龙/220kV.2642刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2518,168,46,46
1888,四川.回龙/220kV.2646刀闸,220,四川.回龙.220.446,四川.回龙.220.446,17927,2517,46,46
1889,四川.回龙/220kV.2651刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2520,167,46,46
1890,四川.回龙/220kV.2652刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2520,168,46,46
1891,四川.回龙/220kV.2656刀闸,220,四川.回龙.220.nd17928,四川.回龙.220.nd2519,17928,2519,46,46
1892,四川.回龙/220kV.2661刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2522,167,46,46
1893,四川.回龙/220kV.2662刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2522,168,46,46
1894,四川.回龙/220kV.2666刀闸,220,四川.回龙.220.446,四川.回龙.220.446,17929,2521,46,46
1895,四川.回龙/220kV.2671刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2524,167,46,46
1896,四川.回龙/220kV.2672刀闸,220,四川.回龙.220.446,四川.回龙.220.446,2524,168,46,46
1897,四川.回龙/220kV.2676刀闸,220,四川.回龙.220.nd17930,四川.回龙.220.nd2523,17930,2523,46,46
1898,四川.会东/220kV.2622刀闸,220,四川.会东.220.1267,四川.会东.220.1267,3525,172,137,137
1899,四川.会东/220kV.2626刀闸,220,四川.会东.220.1267,四川.会东.220.1267,17931,3524,137,137
1900,四川.吉鱼厂/10.5kV.11刀闸,10,四川.吉鱼厂.10.1275,四川.吉鱼厂.10.1275,53,3526,138,138
1901,四川.吉鱼厂/220kV.2011刀闸,220,四川.吉鱼厂.220.1274,四川.吉鱼厂.220.1274,54,3530,139,139
1902,四川.吉鱼厂/10.5kV.21刀闸,10,四川.吉鱼厂.10.1275,四川.吉鱼厂.10.1275,53,3528,138,138
1903,四川.吉鱼厂/220kV.2511刀闸,220,四川.吉鱼厂.220.1274,四川.吉鱼厂.220.1274,3533,54,139,139
1904,四川.吉鱼厂/220kV.2516刀闸,220,四川.吉鱼厂.220.1274,四川.吉鱼厂.220.1274,17932,3532,139,139
1905,四川.吉鱼厂/220kV.2521刀闸,220,四川.吉鱼厂.220.1274,四川.吉鱼厂.220.1274,3535,54,139,139
1906,四川.吉鱼厂/220kV.2526刀闸,220,四川.吉鱼厂.220.nd17933,四川.吉鱼厂.220.nd3534,17933,3534,139,139
1907,四川.吉鱼厂/10.5kV.31刀闸,10,四川.吉鱼厂.10.1275,四川.吉鱼厂.10.1275,53,3536,138,138
1908,四川.吉鱼厂/10.5kV.9011刀闸,10,四川.吉鱼厂.10.1275,四川.吉鱼厂.10.1275,3539,53,138,138
1909,四川.夹江/220kV.2011刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,436,3540,140,140
1910,四川.夹江/220kV.2012刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,437,3540,140,140
1911,四川.夹江/220kV.2016刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3541,17934,140,140
1912,四川.夹江/220kV.2021刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,436,3542,140,140
1913,四川.夹江/220kV.2022刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,437,3542,140,140
1914,四川.夹江/220kV.2026刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3543,17935,140,140
1915,四川.夹江/220kV.2121刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3544,436,140,140
1916,四川.夹江/220kV.2122刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3545,437,140,140
1917,四川.夹江/220kV.2621刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3547,436,140,140
1918,四川.夹江/220kV.2622刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3547,437,140,140
1919,四川.夹江/220kV.2626刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,17936,3546,140,140
1920,四川.夹江/220kV.2631刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3549,436,140,140
1921,四川.夹江/220kV.2632刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3549,437,140,140
1922,四川.夹江/220kV.2636刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,17937,3548,140,140
1923,四川.夹江/220kV.2641刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3551,436,140,140
1924,四川.夹江/220kV.2642刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3551,437,140,140
1925,四川.夹江/220kV.2646刀闸,220,四川.夹江.220.nd17938,四川.夹江.220.nd3550,17938,3550,140,140
1926,四川.夹江/220kV.2651刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3553,436,140,140
1927,四川.夹江/220kV.2652刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3553,437,140,140
1928,四川.夹江/220kV.2656刀闸,220,四川.夹江.220.nd17939,四川.夹江.220.nd3552,17939,3552,140,140
1929,四川.夹江/220kV.2661刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3555,436,140,140
1930,四川.夹江/220kV.2662刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3555,437,140,140
1931,四川.夹江/220kV.2666刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,17940,3554,140,140
1932,四川.夹江/220kV.2691刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3557,436,140,140
1933,四川.夹江/220kV.2692刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3557,437,140,140
1934,四川.夹江/220kV.2696刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,17941,3556,140,140
1935,四川.夹江/220kV.2701刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3559,436,140,140
1936,四川.夹江/220kV.2702刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,3559,437,140,140
1937,四川.夹江/220kV.2706刀闸,220,四川.夹江.220.1277,四川.夹江.220.1277,17942,3558,140,140
1938,四川.佳桥/220kV.2012刀闸,220,四川.佳桥.220.1284,四川.佳桥.220.1284,188,3560,141,141
1939,四川.佳桥/220kV.2016刀闸,220,四川.佳桥.220.1284,四川.佳桥.220.1284,3561,17943,141,141
1940,四川.尖山/220kV.2011刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,175,3562,142,142
1941,四川.尖山/220kV.2012刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,176,3562,142,142
1942,四川.尖山/220kV.2016刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3563,17944,142,142
1943,四川.尖山/220kV.2023刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,177,3564,142,142
1944,四川.尖山/220kV.2024刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,178,3564,142,142
1945,四川.尖山/220kV.2026刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,3565,17945,142,142
1946,四川.尖山/220kV.2121刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,175,3567,142,142
1947,四川.尖山/220kV.2122刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,176,3566,142,142
1948,四川.尖山/220kV.2131刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,175,16939,142,142
1949,四川.尖山/220kV.2133刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,177,16940,142,142
1950,四川.尖山/220kV.2242刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,176,3568,142,142
1951,四川.尖山/220kV.2244刀闸,220,四川.尖山.220.1296,四川.尖山.220.1296,178,3569,142,142
