id,nd
712,12483
713,12484
714,12485
715,12517
716,12519
717,12529
718,12531
719,12533
720,12535
721,12615
722,12617
723,12619
724,12621
725,12625
726,12627
727,12629
728,12631
729,12633
730,12635
731,12672
732,12674
733,12676
734,12678
735,12680
736,12682
737,12637
738,12639
739,12684
740,12686
741,12688
742,12690
743,12641
744,12643
745,12692
746,12694
747,12696
748,12698
749,12645
750,12647
751,12700
752,12702
753,12704
754,12706
755,12649
756,12651
757,12708
758,12710
759,12712
760,12714
761,12716
762,12718
763,12720
764,12722
765,12724
766,12653
767,37757
768,37758
769,37759
770,12795
771,12797
772,12869
773,12871
774,12885
775,12887
776,12889
777,12891
778,23852
779,23853
780,12996
781,12998
782,13000
783,13016
784,13018
785,13020
786,13030
787,13032
788,13086
789,13088
790,13090
791,13134
792,13133
793,13140
794,13142
795,13186
796,13188
797,13190
798,13200
799,13202
800,13246
801,13248
802,37760
803,37761
804,37762
805,37763
806,37764
807,37765
808,37766
809,37767
810,37768
811,37769
812,37770
813,37771
814,37772
815,37773
816,37774
817,37775
818,37776
819,37777
820,37778
821,37779
822,37780
823,37781
824,37782
825,37783
826,37784
827,37785
828,37786
829,37787
830,37788
831,37789
832,37790
833,37791
834,37792
835,13310
836,13312
837,13314
838,37793
839,37794
840,37795
841,37796
842,37797
843,37798
844,37799
845,37800
846,37801
847,37802
848,37803
849,37804
850,37805
851,37806
852,37807
853,37808
854,37809
855,37810
856,37811
857,37812
858,37813
859,37814
860,37815
861,37816
862,37817
863,37818
864,37819
865,37820
866,37821
867,37822
868,37823
869,37824
870,37825
871,37826
872,37827
873,37828
874,37829
875,37830
876,37831
877,37832
878,37833
879,37834
880,37835
881,37836
882,37837
883,37838
884,37839
885,37840
886,37841
887,37842
888,37843
889,37844
890,37845
891,37846
892,37847
893,37848
894,37849
895,37850
896,37851
897,37852
898,37853
899,13350
900,13351
901,13373
902,13375
903,13377
904,13379
905,13392
906,13394
907,37854
908,37855
909,37856
910,37857
911,37858
912,37859
913,37860
914,37861
915,37862
916,13547
917,13549
918,37863
919,37864
920,37865
921,37866
922,37867
923,37868
924,37869
925,37870
926,37871
927,37872
928,37873
929,37874
930,37875
931,37876
932,37877
933,37878
934,37879
935,37880
936,37881
937,37882
938,37883
939,37884
940,37885
941,37886
942,37887
943,37888
944,37889
945,37890
946,37891
947,37892
948,37893
949,37894
950,37895
951,13615
952,13617
953,13669
954,13671
955,37896
956,37897
957,37898
958,37899
959,37900
960,37901
961,37902
962,37903
963,37904
964,37905
965,37906
966,37907
967,37908
968,37909
969,37910
970,37911
971,37912
972,37913
973,37914
974,37915
975,37916
976,37917
977,37918
978,37919
979,37920
980,37921
981,37922
982,37923
983,37924
984,37925
985,37926
986,37927
987,37928
988,24293
989,24294
990,13687
991,13689
992,13691
993,13736
994,13737
995,13738
996,13752
997,13754
998,13780
999,13782
1000,13806
1001,13808
1002,13830
1003,37929
1004,37930
1005,37931
1006,37932
1007,37933
1008,37934
1009,37935
1010,37936
1011,37937
1012,37938
1013,37939
1014,37940
1015,37941
1016,37942
1017,37943
1018,37944
1019,37945
1020,37946
1021,37947
1022,37948
1023,37949
1024,37950
1025,37951
1026,37952
1027,37953
1028,37954
1029,37955
1030,37956
1031,37957
1032,37958
1033,37959
1034,37960
1035,37961
1036,37962
1037,37963
1038,13854
1039,13855
1040,13903
1041,13905
1042,13939
1043,13941
1044,13943
1045,13953
1046,13955
1047,13957
1048,13979
1049,13981
1050,13983
1051,13985
1052,13987
1053,13921
1054,13923
1055,14117
1056,14119
1057,14121
1058,14123
1059,14231
1060,14233
1061,14253
1062,14251
1063,14361
1064,14363
1065,14371
1066,14369
1067,14403
1068,14441
1069,14443
1070,14445
1071,37964
1072,37965
1073,37966
1074,37967
1075,37968
1076,37969
1077,37970
1078,37971
1079,37972
1080,37973
1081,37974
1082,37975
1083,37976
1084,37977
1085,37978
1086,37979
1087,37980
1088,37981
1089,37982
1090,37983
1091,37984
1092,37985
1093,37986
1094,37987
1095,37988
1096,37989
1097,37990
1098,37991
1099,37992
1100,37993
1101,37994
1102,37995
1103,37996
1104,37997
