index,sub
9411,1247
9412,1068
9421,1248
9422,1249
9431,1248
9432,1249
9441,1190
9442,1028
9451,1190
9452,1028
9481,1216
9482,1254
9511,1255
9512,1256
9521,1262
9522,1261
9531,1262
9532,1261
9541,1640
9542,1263
9551,1267
9552,1266
9561,1268
9562,1269
9571,1268
9572,1269
9581,1268
9582,1269
9591,1268
9592,1269
9601,1220
9602,1270
9611,1220
9612,1270
9631,1272
9632,1271
9641,1274
9642,1275
9651,1274
9652,1275
9661,1276
9662,1277
9671,1276
9672,1277
9681,1278
9682,1279
9691,1278
9692,1279
9701,1280
9702,1281
9711,1283
9712,1282
9721,1285
9722,1284
9731,1285
9732,1284
9741,1286
9742,1287
9751,1286
9752,1287
9771,1215
9772,1290
9781,1215
9782,1290
9791,1291
9792,1293
9801,1291
9802,1293
9811,1294
9812,1295
9841,1302
9842,1301
9851,1302
9852,1301
9861,1174
9862,1173
9871,1174
9872,1173
9881,1305
9882,1304
9891,1305
9892,1304
9901,1308
9902,1309
9911,1308
9912,1309
9921,1316
9922,1317
9931,1098
9932,1099
9941,1321
9942,1320
9951,1321
9952,1320
9961,1324
9962,1802
9971,1324
9972,1802
9981,1324
9982,1802
9991,1324
9992,1802
10001,1324
10002,1802
10011,1324
10012,1802
10021,1324
10022,1802
10031,1324
10032,1802
10041,1323
10042,1324
10051,1192
10052,1193
10081,1334
10082,1333
10091,1335
10092,1336
10101,1335
10102,1336
10111,1340
10112,1341
10121,1340
10122,1341
10131,1342
10132,1343
10141,1342
10142,1343
10171,1345
10172,1346
10181,1347
10182,1348
10191,1351
10192,1350
10201,1354
10202,1353
10211,1354
10212,1353
10221,1352
10222,1355
10231,1356
10232,1357
10241,1356
10242,1357
10251,1359
10252,1360
10261,1364
10262,1365
10271,1364
10272,1365
10281,1366
10282,1367
10311,1371
10312,1372
10321,1371
10322,1372
10331,1371
10332,1372
10341,1371
10342,1372
10351,1373
10352,1374
10361,1373
10362,1374
10371,1376
10372,1375
10411,1380
10412,1381
10421,1380
10422,1381
10441,1387
10442,1388
10451,1387
10452,1388
10461,1389
10462,1390
10471,1391
10472,1392
10481,1393
10482,1394
10491,1393
10492,1394
10521,1399
