id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
序号,变压器名,绕组类型,高压端电压等级,中压端电压等级,低压端电压等级,高压端额定容量,中压端额定容量,低压端额定容量,高压端分接头最高档位,高压端分接头最低档位,高压端分接头额定档位,高压端分接头级差,高压端额定电压,中压端分接头最高档位,中压端分接头最低档位,中压端分接头额定档位,中压端分接头级差,中压端额定电压,低压端额定电压,高压绕组电阻,高压绕组电抗,中压绕组电阻,中压绕组电抗,低压绕组电阻,低压绕组电抗,高压端所在拓扑节点,中压端所在拓扑节点,低压端所在拓扑节点,高压端有功功率,高压端无功功率,中压端有功功率,中压端无功功率,低压端有功功率,低压端无功功率,高压侧分接头位置,中压侧分接头位置,高压侧开断标志,中压侧开断标志,低压侧开断标志,高压端有功功率量测,高压端无功功率量测,中压端有功功率量测,中压端无功功率量测,低压端有功功率量测,低压端无功功率量测,高压端分接头位置遥测,中压端分接头位置遥测,并联电导,并联电纳,高压端物理节点,中压端物理节点,低压端物理节点,高压端计算节点,中压端计算节点,低压端计算节点,高压端电气岛号,中压端电气岛号,低压端电气岛号,高压绕组电阻标么值,高压绕组电抗标么值,中压绕组电阻标么值,中压绕组电抗标么值,低压绕组电阻标么值,低压绕组电抗标么值,高压端变比,中压端变比,低压端变比,高压端基准电压,中压端基准电压,低压端基准电压
26,国调.锦东厂/8#变压器,2,500,0,22,669,0,669,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.锦东厂.500.263,'',国调.锦东厂.22.275,-596.914,-62.792,0.000,0.000,597.984,147.566,0,0,0,0,0,-595.45,-59.06,'','','','','','','','',17447,-1,17455,263,-2,275,0,-1,0,0.000283,0.022422,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
27,国调.溪洛渡电厂/1#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.287,-698.462,-29.760,0.000,0.000,699.963,150.220,0,0,0,0,0,-698.85,-15.39,'','','','','','','','',17514,-1,17490,286,-2,287,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
28,国调.溪洛渡电厂/2#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.288,-698.121,-36.015,0.000,0.000,699.622,156.459,0,0,0,0,0,-699.25,41.00,'','','','','','','','',17522,-1,17491,286,-2,288,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
29,国调.溪洛渡电厂/3#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.289,-700.058,66.792,0.000,0.000,701.576,55.098,0,0,0,0,0,-701.15,75.40,'','','','','','','','',17515,-1,17492,286,-2,289,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
30,国调.溪洛渡电厂/4#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.290,-702.344,-43.187,0.000,0.000,703.865,165.228,0,0,0,0,0,-703.38,-20.48,'','','','','','','','',17516,-1,17493,286,-2,290,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
31,国调.溪洛渡电厂/5#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.291,-700.149,-34.614,0.000,0.000,701.658,155.732,0,0,0,0,0,-701.28,-23.44,'','','','','','','','',17517,-1,17494,286,-2,291,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
32,国调.溪洛渡电厂/6#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.292,-700.790,-27.713,0.000,0.000,702.301,148.947,0,0,0,0,0,-701.87,-25.03,'','','','','','','','',17518,-1,17495,286,-2,292,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
33,国调.溪洛渡电厂/7#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.293,-700.136,-27.949,0.000,0.000,701.644,148.960,0,0,0,0,0,-701.22,-22.70,'','','','','','','','',17519,-1,17496,286,-2,293,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
34,国调.溪洛渡电厂/8#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.294,-699.665,-34.141,0.000,0.000,701.172,155.084,0,0,0,0,0,-700.95,0.00,'','','','','','','','',17520,-1,17497,286,-2,294,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
35,国调.溪洛渡电厂/9#变压器,2,500,0,22,860,0,860,5,1,3,-0.025,550.000,17,1,1,-0.012500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,国调.溪洛渡电厂.500.286,'',国调.溪洛渡电厂.22.295,-697.259,-27.062,0.000,0.000,698.755,147.070,0,0,0,0,0,-697.80,-23.85,'','','','','','','','',17521,-1,17498,286,-2,295,0,-1,0,0.000279,0.022420,0.000000,0.000000,0.000000,0.000000,1.047619,0.000000,1.000000,525.000000,0.000000,22.000000
