CN,sub
20946,432
20947,432
50377,62
26070,2178
26066,2178
23312,1378
18752,317
25914,2187
25913,1793
50379,2189
50381,276
50383,317
50385,85
50387,460
23791,1578
23793,1578
25959,2194
25963,2194
25954,2194
25990,2197
26033,2224
25394,2016
25395,2016
26056,2229
26057,2229
17615,68
20882,68
26062,189
25403,2016
25402,2016
25401,2016
25398,2016
25400,2016
25399,2016
26126,274
26125,274
20577,460
24009,185
22073,185
18508,252
18507,252
26106,935
26107,935
17637,76
26141,76
25232,1413
26143,1413
18052,166
16349,2252
25578,2058
25579,2058
25577,2058
25576,2058
25574,2058
25575,2058
25573,2058
25572,2058
26144,2259
26153,2262
26214,142
17946,142
26017,1890
26018,1890
19209,407
19207,407
26245,286
18625,286
18626,286
26243,286
26252,124
19212,378
19216,378
26256,1889
25396,2016
25397,2016
23126,1351
26741,125
26740,125
26284,2301
26313,2311
26317,2314
25001,1931
25002,1931
26324,2317
50391,1931
50393,1931
1996,2324
17655,78
18442,235
26363,78
26260,429
26382,1889
21462,890
26012,1662
26013,1662
19392,429
26395,78
26421,2286
26422,2286
26419,2286
26420,2286
2058,2338
21622,920
26454,2342
26477,142
26647,1504
26649,1504
21267,548
21268,548
26480,2346
26525,2360
20914,370
26549,1890
26550,1890
26563,2372
26560,2371
24717,1845
21553,899
26025,1330
26026,1330
23303,1395
24031,1645
26588,2377
20341,506
20341,506
11866,982
11868,982
11872,982
11870,982
11874,982
11876,982
18469,242
18468,242
26600,1749
26599,1749
1284,1155
22584,1212
1144,1203
19458,115
17842,116
26625,2382
26642,1005
26643,1005
26663,2388
26614,2389
26615,2389
25926,2189
25592,2074
17778,103
50395,1604
50397,1604
26689,2395
26757,2455
26755,2455
26776,2456
26778,2456
22872,1280
26725,1413
26728,2424
22949,1067
22954,1067
26814,38
17386,1
17388,1
17383,1
28024,38
19374,426
19376,426
17384,1
17381,1
17379,1
17378,1
17377,1
24185,1685
24189,1685
24192,1685
50160,27
50161,27
50163,2
50165,2
50336,1686
50338,1686
50167,28
50169,28
50340,1686
50342,1686
50171,28
50173,28
22,35
22,35
17550,36
17556,36
24,32
2458,32
50174,32
50175,32
