index,sub
7022,873
7023,874
7031,280
7032,762
7033,828
7041,538
7042,875
7043,876
7051,538
7052,875
7053,876
7061,539
7062,878
7063,877
7071,539
7072,878
7073,877
7081,540
7082,879
7083,880
7091,540
7092,879
7093,880
7101,546
7102,882
7103,881
7111,546
7112,882
7113,881
7121,541
7122,883
7123,884
7131,541
7132,883
7133,884
7141,552
7142,885
7143,886
7151,552
7152,885
7153,886
7161,547
7162,887
7163,888
7171,547
7172,887
7173,888
7181,890
7182,891
7183,892
7191,890
7192,891
7193,892
7201,893
7202,894
7203,895
7211,532
7212,871
7213,872
7231,897
7232,898
7233,1339
7241,897
7242,898
7243,1339
7251,897
7252,898
7253,1339
7261,897
7262,898
7263,1339
7271,899
7272,900
7273,901
7281,229
7282,503
7283,228
7291,904
7292,902
7293,903
7301,904
7302,902
7303,903
7311,904
7312,902
7313,903
7341,899
7342,900
7343,901
7351,899
7352,900
7353,901
7361,906
7362,908
7363,907
7371,906
7372,908
7373,907
7381,909
7382,910
7383,911
7391,909
7392,910
7393,911
7401,912
7402,913
7403,914
7411,912
7412,913
7413,914
7431,917
7432,918
7433,919
7441,917
7442,918
7443,919
7451,920
7452,921
7453,922
7461,920
7462,921
7463,922
7491,926
7492,925
7493,927
7501,926
7502,925
7503,927
7511,926
7512,925
7513,927
7521,224
7522,612
7523,613
7531,54
7532,687
7533,688
7541,78
7542,929
7543,928
7551,78
7552,929
7553,928
7561,299
7562,784
7563,785
7591,121
7592,581
7593,585
7601,932
7602,933
7603,934
7611,932
7612,933
7613,934
7621,935
7622,936
7623,937
7631,935
7632,936
7633,937
7671,943
7672,944
7673,945
7681,943
7682,944
7683,945
7691,946
7692,947
7693,948
7701,946
7702,947
7703,948
7711,949
7712,954
7713,950
7721,949
7722,954
7723,950
7731,951
7732,952
7733,953
7741,951
7742,952
7743,953
7751,191
7752,590
7753,591
7781,958
7782,959
7783,960
7791,958
7792,959
7793,960
7801,961
7802,962
7803,963
7811,961
7812,962
7813,963
7821,964
7822,965
7823,966
7831,964
7832,965
7833,966
7921,969
7922,975
7923,976
7931,980
7932,979
7933,978
7941,980
7942,979
7943,978
8011,59
8012,814
8013,815
8021,985
8022,986
8023,987
8031,985
8032,986
8033,987
8041,988
8042,989
8043,990
8051,988
8052,989
8053,990
8061,983
8062,991
8063,992
8071,983
8072,991
8073,992
8081,994
8082,995
8083,996
8091,994
8092,995
8093,996
8101,999
8102,998
8103,997
8111,1005
8112,1004
8113,1003
8121,1000
8122,1001
8123,1002
8131,1006
8132,1007
8133,1008
8161,1013
8162,1014
8163,1015
8171,1013
8172,1014
8173,1015
8181,993
8182,1011
8183,1012
8191,993
8192,1011
8193,1012
8201,1018
8202,1017
8203,1016
8211,1018
8212,1017
8213,1016
8221,1020
8222,1021
8223,1023
8331,1091
8332,1093
8333,1092
8391,1026
8392,1096
8393,1027
8471,1111
8472,1112
8473,1110
8611,1129
8612,1130
8613,1131
8701,1149
8702,1148
8703,1147
8711,1149
8712,1148
8713,1147
8821,1031
8822,1029
8823,1030
9051,1191
9052,1189
9053,1188
9161,1207
9162,1211
9163,1208
9221,1227
9222,1228
9223,1229
9281,1239
9282,1240
9283,1241
9371,1242
9372,1243
9373,1244
9461,284
9462,769
9463,1250
9471,1216
9472,1253
9473,1254
9491,1257
9492,1258
9493,1259
9501,1257
9502,1260
9503,1259
9621,1272
9622,1273
9623,1271
9761,1218
9762,1289
