name,CN_I,CN_J,TxI,TxJ
四川.晴朗厂/3#变压器,7631,19435,2281,2282
四川.苏巴姑厂/1#变压器,7641,689,2291,2292
四川.踏卡厂/1#变压器,7651,692,2301,2302
四川.踏卡厂/2#变压器,7653,691,2311,2312
四川.新平厂/1#变压器,7664,19797,2321,2322
四川.广安二厂/33#变压器,19443,20049,2331,2332
四川.广安二厂/34#变压器,19446,20053,2341,2342
四川.广安二厂/61#变压器,19448,20061,2351,2352
四川.广安二厂/62#变压器,19450,20057,2361,2362
四川.渔子溪厂/1#变压器,7724,789,2371,2372
四川.渔子溪厂/2#变压器,7726,790,2381,2382
四川.足木厂/1#变压器,7818,7821,2411,2412
四川.足木厂/2#变压器,7820,7823,2421,2422
四川.宜宾二厂/12#变压器,7905,19774,2451,2452
四川.方山厂/205启备变压器,17794,26820,2461,2462
四川.东岳厂/205启备变压器,3057,26821,2471,2472
四川.海虹厂/205启备变压器,17866,26819,2481,2482
四川.广安厂/1#变压器,19859,26826,2511,2512
四川.广安厂/2#变压器,19860,26831,2521,2522
四川.湾坝厂/1#变压器,7931,724,2611,2612
四川.铜头厂/1#变压器,7935,19955,2621,2622
四川.铜头厂/2#变压器,7937,19954,2631,2632
四川.红叶厂/1#变压器,7950,732,2641,2642
四川.红叶厂/3#变压器,7954,731,2661,2662
四川.铜头厂/7#变压器,7940,27983,2671,2672
四川.金龙潭厂/1#变压器,7964,19984,2691,2692
四川.金龙潭厂/2#变压器,7966,19988,2701,2702
四川.金龙潭厂/3#变压器,7968,19990,2711,2712
四川.雨城厂/2#变压器,18634,20039,2721,2722
四川.天龙湖厂/4#变压器,7707,8000,2731,2732
四川.银泉厂/1#变压器,8014,745,2741,2742
四川.岷江厂/205启动变压器,5707,26839,2751,2752
四川.正源厂/1#变压器,8097,753,2801,2802
四川.刘河坝厂/1#变压器,8008,20089,2821,2822
四川.白溪厂/1#变压器,7801,19529,2831,2832
四川.白溪厂/2#变压器,7802,19530,2841,2842
四川.五一桥厂/5#变压器,8131,20354,2891,2892
