id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
9843,四川.路平/380V.#1UPI虚开关,0,四川.路平.0.nd32266,四川.路平.0.nd32267,32266,32267,1568,1568
9844,四川.路平/380V.#1UPR虚开关,0,四川.路平.0.nd32268,四川.路平.0.nd32269,32268,32269,1568,1568
9845,四川.路平/380V.#2UPI虚开关,0,四川.路平.0.nd32270,四川.路平.0.nd32271,32270,32271,1568,1568
9846,四川.路平/380V.#2UPR虚开关,0,四川.路平.0.nd32272,四川.路平.0.nd32273,32272,32273,1568,1568
9847,四川.路平/380V.#1UPS交流进线虚开关,0,四川.路平.0.nd32274,四川.路平.0.nd32275,32274,32275,1568,1568
9848,四川.路平/380V.#2UPS交流进线虚开关,0,四川.路平.0.nd32276,四川.路平.0.nd32277,32276,32277,1568,1568
9849,四川.路平/380V.8101开关,0,四川.路平.0.nd32278,四川.路平.0.nd32279,32278,32279,1568,1568
9850,四川.路平/380V.8102开关,0,四川.路平.0.nd32280,四川.路平.0.nd32281,32280,32281,1568,1568
9851,四川.路平/380V.8103开关,0,四川.路平.0.nd32282,四川.路平.0.nd32283,32282,32283,1568,1568
9852,四川.路平/380V.8201开关,0,四川.路平.0.nd32284,四川.路平.0.nd32285,32284,32285,1568,1568
9853,四川.路平/380V.8202开关,0,四川.路平.0.nd32286,四川.路平.0.nd32287,32286,32287,1568,1568
9854,四川.路平/380V.8203开关,0,四川.路平.0.nd32288,四川.路平.0.nd32289,32288,32289,1568,1568
9855,四川.路平/380V.8011开关,0,四川.路平.0.nd32290,四川.路平.0.nd32291,32290,32291,1568,1568
9856,四川.路平/380V.8021开关,0,四川.路平.0.nd32292,四川.路平.0.nd32293,32292,32293,1568,1568
9857,四川.路平/380V.9011开关,0,四川.路平.0.nd32294,四川.路平.0.nd32295,32294,32295,1568,1568
9858,四川.路平/380V.9012开关,0,四川.路平.0.nd32296,四川.路平.0.nd32297,32296,32297,1568,1568
9859,四川.路平/380V.9021开关,0,四川.路平.0.nd32298,四川.路平.0.nd32299,32298,32299,1568,1568
9860,四川.路平/380V.9022开关,0,四川.路平.0.nd32300,四川.路平.0.nd32301,32300,32301,1568,1568
9861,四川.路平/380V.#11TZLK虚开关,0,四川.路平.0.nd32302,四川.路平.0.nd32303,32302,32303,1568,1568
9862,四川.路平/380V.#12TZLK虚开关,0,四川.路平.0.nd32304,四川.路平.0.nd32305,32304,32305,1568,1568
9863,四川.路平/380V.#15TZLK虚开关,0,四川.路平.0.nd32306,四川.路平.0.nd32307,32306,32307,1568,1568
9864,四川.路平/380V.#21TZLK虚开关,0,四川.路平.0.nd32308,四川.路平.0.nd32309,32308,32309,1568,1568
9865,四川.路平/380V.#22TZLK虚开关,0,四川.路平.0.nd32310,四川.路平.0.nd32311,32310,32311,1568,1568
9866,四川.路平/380V.#25TZLK虚开关,0,四川.路平.0.nd32312,四川.路平.0.nd32313,32312,32313,1568,1568
9867,四川.路平/380V.通信直流#1充电机交流进线1虚开关,0,四川.路平.0.nd32314,四川.路平.0.nd32315,32314,32315,1568,1568
9868,四川.路平/380V.通信直流#1充电机交流进线2虚开关,0,四川.路平.0.nd32316,四川.路平.0.nd32317,32316,32317,1568,1568
9869,四川.路平/380V.通信直流#2充电机交流进线1虚开关,0,四川.路平.0.nd32318,四川.路平.0.nd32319,32318,32319,1568,1568
9870,四川.路平/380V.通信直流#2充电机交流进线2虚开关,0,四川.路平.0.nd32320,四川.路平.0.nd32321,32320,32321,1568,1568
9871,四川.路平/220V.8022开关,0,四川.路平.0.nd32322,四川.路平.0.nd32323,32322,32323,1568,1568
9872,四川.路平/220V.8012开关,0,四川.路平.0.nd32324,四川.路平.0.nd32325,32324,32325,1568,1568
9873,四川.路平/380V.直流系统#1充电机交流进线1虚开关,0,四川.路平.0.nd32326,四川.路平.0.nd32327,32326,32327,1568,1568
9874,四川.路平/380V.直流系统#1充电机交流进线2虚开关,0,四川.路平.0.nd32328,四川.路平.0.nd32329,32328,32329,1568,1568
9875,四川.路平/380V.直流系统#2充电机交流进线1虚开关,0,四川.路平.0.nd32330,四川.路平.0.nd32331,32330,32331,1568,1568
9876,四川.路平/380V.直流系统#2充电机交流进线2虚开关,0,四川.路平.0.nd32332,四川.路平.0.nd32333,32332,32333,1568,1568
9877,四川.路平/380V.直流系统#3充电机交流进线1虚开关,0,四川.路平.0.nd32334,四川.路平.0.nd32335,32334,32335,1568,1568
