id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
1230,四川.石棉/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.石棉.35.nd41561,'',四川.石棉.0.nd41562,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.05,0.05,'','',54.66,53.60,'','','','',41561,-1,41562,2496,-2,2577,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1231,四川.石棉/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.石棉.35.nd41563,'',四川.石棉.0.nd41564,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.05,0.05,'','',52.07,50.51,'','','','',41563,-1,41564,2497,-2,2578,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1232,四川.石棉/0#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.石棉.35.nd41565,'',四川.石棉.0.nd41566,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41565,-1,41566,2498,-2,2579,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1233,四川.蜀州/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.蜀州.35.nd41567,'',四川.蜀州.0.nd41568,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.06,0.04,'','',92.09,59.77,'','','','',41567,-1,41568,2673,-2,2755,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1234,四川.蜀州/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.蜀州.35.nd41569,'',四川.蜀州.0.nd41570,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.01,0.01,'','',65.87,65.87,'','','','',41569,-1,41570,2674,-2,2756,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1235,四川.蜀州/0#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,四川.蜀州.35.nd41571,'',四川.蜀州.0.nd41572,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.00,0.00,'','',0.00,0.00,'','','','',41571,-1,41572,2675,-2,2757,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1236,四川.谭家湾/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.谭家湾站.35.nd41573,'',西南.谭家湾站.0.nd41574,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.03,0.02,'','',-50.72,-23.21,'','','','',41573,-1,41574,2863,-2,2949,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1237,四川.谭家湾/2#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.谭家湾站.35.nd41575,'',西南.谭家湾站.0.nd41576,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.05,0.03,'','',-75.25,-47.26,'','','','',41575,-1,41576,2864,-2,2950,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1238,四川.谭家湾/0#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.谭家湾站.35.nd41577,'',西南.谭家湾站.0.nd41578,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,-0.00,-0.00,'','','','','','','','',41577,-1,41578,2865,-2,2951,-1,-1,-1,0.014609,0.36523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
1239,四川.资阳/1#站用变,2,35,0,0,0,0,0,1,1,1,0.0,37.0,17,1,1,-0.0125,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,西南.资阳站.35.nd41579,'',西南.资阳站.0.nd41580,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0.11,0.06,'','',107.30,57.85,'','','','',41579,-1,41580,4768,-2,4872,-1,-1,-1,0.000146,0.039445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,37.0,0.0,0.38
