id,name,type,I_Vol,K_Vol,J_Vol,I_S,K_S,J_S,Itap_H,Itap_L,Itap_E,Itap_C,Itap_V,Ktap_H,Ktap_L,Ktap_E,Ktap_C,Ktap_V,Jtap_V,Ri,Xi,Rk,Xk,Rj,Xj,I_node,K_node,J_node,I_P,I_Q,K_P,K_Q,J_P,J_Q,I_tap,K_tap,I_off,K_off,J_off,Pi_meas,Qi_meas,Pk_meas,Qk_meas,Pj_meas,Qj_meas,Ti_meas,Tk_meas,G,B,I_nd,K_nd,J_nd,I_bs,K_bs,J_bs,I_island,K_island,J_island,Ri*,Xi*,Rk*,Xk*,Rj*,Xj*,I_t,K_t,J_t,IBase_V,KBase_V,JBase_V
249,四川.白马新厂/27#变压器,3,220,110,6,120,120,60,19,1,11,-0.015,220.0,1,1,1,0.0,121.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.白马新厂.220.488,四川.白马新厂.110.491,四川.白马新厂.6.496,1.7069999999999999,-3.175,0.002,0.0,-1.7069999999999999,3.2039999999999997,4,0,0,0,0,0.00,0.00,'','','','','','','','',17579,26824,26852,488,491,496,0,0,0,0.000983,0.141021,0.001493,-0.056665,0.0019219999999999999,0.06,1.056957,1.052174,1.0,230.0,115.0,6.3
250,四川.白马新厂/28#变压器,3,220,110,6,120,120,60,19,1,11,-0.015,220.0,1,1,1,0.0,121.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.白马新厂.220.488,四川.白马新厂.110.nd26825,四川.白马新厂.6.nd26829,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0.00,0.00,'','','','','','','','',17580,26825,26829,488,492,495,0,-1,-1,0.001474,0.12349700000000001,0.001883,-0.0043289999999999995,0.001582,0.074,1.056957,1.052174,1.0,230.0,115.0,6.3
253,四川.广安厂/3#变压器,3,220,110,20,330,330,115,5,1,3,-0.025,220.0,1,1,1,0.0,110.0,20.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.广安厂.220.961,四川.广安厂.110.962,四川.广安厂.20.968,1.5930000000000002,-0.226,-1.861,-0.5710000000000001,0.268,0.7979999999999999,0,0,0,0,0,0.00,0.00,'','','','','','','','',19861,26845,26832,961,962,968,0,0,0,0.0009449999999999999,0.037807,0.00037799999999999997,-0.004197,0.00018899999999999999,0.018941,0.956522,0.956522,1.0,230.0,115.0,20.0
254,四川.广安厂/4#变压器,3,220,110,20,330,330,115,5,1,3,-0.025,220.0,1,1,1,0.0,110.0,20.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.广安厂.220.961,四川.广安厂.110.963,四川.广安厂.20.969,1.5930000000000002,-0.226,-1.974,-0.569,0.381,0.7959999999999999,0,0,0,0,0,0.00,0.00,'','','','','','','','',19862,26846,26833,961,963,969,0,0,0,0.00037799999999999997,0.037807,0.00037799999999999997,-0.004197,0.00037799999999999997,0.018941,0.956522,0.956522,1.0,230.0,115.0,20.0
255,四川.黄桷庄厂/20#变压器,3,220,110,10,40,40,20,5,1,3,-0.025,230.0,1,1,1,0.0,110.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.黄桷庄厂.220.nd3513,四川.黄桷庄厂.110.nd26834,四川.黄桷庄厂.10.nd26835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.41,0.00,'','','','','','','','',3513,26834,26835,1261,1262,1265,-1,-1,-1,0.00037799999999999997,0.037807,0.00037799999999999997,-0.004197,0.00037799999999999997,0.018941,1.0,0.956522,1.0,230.0,115.0,10.5
256,四川.东坡/1#变压器,3,500,220,35,750,750,240,1,1,1,0.0,525.0,17,1,9,-0.0125,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.东坡.500.786,四川.东坡.220.788,四川.东坡.35.nd17744,345.583,19.973,-345.358,-0.627,0.0,0.0,0,0,0,0,1,336.00,27.20,-337.20,-14.24,0.00,0.00,'',0.00,'','',17748,17729,17744,786,788,790,0,0,-1,7.3e-05,0.017853,8e-05,-0.001693,0.00047999999999999996,0.041973,1.0,1.0,0.972973,525.0,230.0,37.0
257,四川.东坡/2#变压器,3,500,220,35,750,750,240,1,1,1,0.0,525.0,17,1,9,-0.0125,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.东坡.500.786,四川.东坡.220.788,四川.东坡.35.791,348.043,20.317,-349.27099999999996,-3.1910000000000003,1.464,2.359,0,0,0,0,0,335.40,30.20,-340.01,-15.29,0.00,1.75,'',1.75,'','',17747,17730,17745,786,788,791,0,0,0,8.8e-05,0.017773,6.6e-05,-0.00172,0.00045599999999999997,0.041747,1.0,1.0,0.972973,525.0,230.0,37.0
258,四川.江油新厂/1#变压器,3,220,110,6,50,50,25,5,1,3,-0.025,220.0,1,1,1,0.0,110.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.江油新厂.220.1336,四川.江油新厂.110.1337,四川.江油新厂.6.1343,1.905,2.214,-0.945,-2.2030000000000003,-0.945,-0.001,0,0,0,0,0,2.23,2.13,'','','','','','','','',3667,26848,26837,1336,1337,1343,0,0,0,0.000624,0.128091,9.499999999999999e-05,-0.004197,0.0008880000000000001,0.056729999999999996,0.956522,0.956522,1.0,230.0,115.0,6.3
259,四川.江油新厂/2#变压器,3,220,110,6,50,50,25,5,1,3,-0.025,220.0,1,1,1,0.0,110.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.江油新厂.220.1336,四川.江油新厂.110.1338,四川.江油新厂.6.1342,-2.1519999999999997,0.08,0.24600000000000002,-1.182,1.906,1.11,0,0,0,0,0,-5.61,0.00,'','','','','','','','',19881,26849,26836,1336,1338,1342,0,0,0,0.000624,0.128091,9.499999999999999e-05,-0.004197,0.0008880000000000001,0.056729999999999996,0.956522,0.956522,1.0,230.0,115.0,6.3
260,四川.棕坪溪/1#变压器,3,220,110,10,75,75,75,5,1,3,-0.025,242.0,1,1,1,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,四川.棕坪溪.220.3594,四川.棕坪溪.110.3595,四川.棕坪溪.10.nd18730,-0.0,0.006999999999999999,0.0,-0.006999999999999999,0.0,0.0,3,0,0,0,1,-0.00,-1.58,0.00,0.00,0.00,0.00,0.00,'','','',18728,18726,18730,3594,3595,3606,0,0,-1,0.002433,0.018619999999999998,0.002687,0.011312000000000001,0.002428,-0.010333,1.052174,1.052174,1.0,230.0,115.0,10.5
265,四川.红叶厂/2#变压器,3,110,35,6,180,180,90,1,1,1,0.0,110.0,1,1,1,0.0,35.0,6.3,0.0,0.0,0.0,-0.0,0.0,0.0,四川.红叶厂.110.nd7952,四川.红叶厂.35.nd7955,四川.红叶厂.6.nd733,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,-8.19,-1.36,0.00,0.00,'','','','','','',7952,7955,733,5128,5130,5133,-1,-1,-1,0.0015119999999999999,0.11342200000000001,0.0015119999999999999,-0.015123,0.0015119999999999999,0.075614,0.956522,0.945946,0.9545450000000001,115.0,37.0,6.6
268,四川.普提/2#变压器,3,500,220,35,750,750,240,1,1,1,0.0,550.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,西南.普提站.500.2181,西南.普提站.220.2195,西南.普提站.35.nd18261,-242.668,27.471,242.77900000000002,-16.984,0.0,0.0,1,1,0,0,1,-242.16,35.70,242.67,-24.46,0.00,0.00,0.00,'','','',18266,18257,18261,2181,2195,2196,0,0,-1,7.900000000000001e-05,0.01806,8.1e-05,-0.00182,0.00047000000000000004,0.039873,1.047619,1.05,0.972973,525.0,230.0,37.0
276,四川.达州/1#变压器,3,500,220,35,750,750,240,1,1,1,0.0,525.0,5,1,3,-0.025,230.0,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,四川.达州.500.4442,四川.达州.220.4444,四川.达州.35.4455,72.63600000000001,87.40299999999999,-72.577,-28.421,-0.012,-55.38399999999999,0,2,0,0,0,70.96,85.43,-70.14,-24.23,-0.26,-58.59,'',-58.59,'','',19200,19196,19198,4442,4444,4455,0,0,0,9.2e-05,0.017933,8.6e-05,-0.0022,0.000558,0.041933,1.0,1.025,0.972973,525.0,230.0,37.0
