id,name,volt,Q_rate,V_rate,position,node,P,Q,off,Q_meas,nd,bs,island,type,base_value
序号,并补名,电压等级,额定容量,额定电压,连接位置,所在拓扑节点,有功功率,无功功率,停运标志,无功量测,物理节点,计算节点,电气岛号,类型,电压等级
57,东坡.35kV.2-3#电容器,35,40.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3030,791,0,Compensator_P,35
58,东坡.35kV.2-1#电抗器,35,-60.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3032,791,0,Compensator_P,35
59,东坡.35kV.2-2#电抗器,35,-60.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3034,791,0,Compensator_P,35
60,东坡.35kV.2-3#电抗器,35,-60.000,37.000,0,四川.东坡.35.791,0.000,0.000,1,0,3036,791,0,Compensator_P,35
61,洪沟.500kV.普洪一线电抗器,500,-180.000,525.000,四川.普洪一线,西南.洪沟站.500.990,0.000,-162.740,0,-159.05,17880,990,0,Compensator_P,525
62,洪沟.500kV.普洪二线电抗器,500,-180.000,525.000,四川.普洪二线,西南.洪沟站.500.990,0.000,-162.740,0,-160.46,17883,990,0,Compensator_P,525
63,洪沟.35kV.1-1#电抗器,35,-45.000,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3363,1008,0,Compensator_P,35
64,洪沟.35kV.1-2#电抗器,35,-45.000,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3365,1008,0,Compensator_P,35
65,洪沟.35kV.1-3#电抗器,35,-45.000,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3367,1008,0,Compensator_P,35
66,洪沟.35kV.1-4#电抗器,35,-45.000,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3369,1008,0,Compensator_P,35
67,洪沟.35kV.1-1#电容器,35,35.200,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3374,1008,0,Compensator_P,35
68,洪沟.35kV.1-2#电容器,35,30.000,37.000,0,西南.洪沟站.35.1008,0.000,0.000,1,0,3376,1008,0,Compensator_P,35
69,洪沟.35kV.1-3#电容器,35,30.000,37.000,0,西南.洪沟站.35.1008,0.000,32.508,0,33.46,3378,1008,0,Compensator_P,35
70,洪沟.35kV.1-4#电容器,35,40.000,37.000,0,西南.洪沟站.35.1008,0.000,43.344,0,34.42,3380,1008,0,Compensator_P,35
71,黄岩.35kV.2-1#电抗器,35,-60.000,37.000,0,西南.黄岩站.35.nd3468,0.000,0.000,1,0,3468,1150,-1,Compensator_P,35
72,黄岩.35kV.2-2#电抗器,35,-60.000,37.000,0,西南.黄岩站.35.nd3470,0.000,0.000,1,0,3470,1150,-1,Compensator_P,35
73,尖山.35kV.1#电抗器,35,-60.000,37.000,0,四川.尖山.35.1303,0.000,0.000,1,0,3588,1303,0,Compensator_P,35
74,尖山.35kV.2#电抗器,35,-60.000,37.000,0,四川.尖山.35.1303,0.000,0.000,1,0,3590,1303,0,Compensator_P,35
75,尖山.35kV.1#电容器,35,40.000,37.000,0,四川.尖山.35.1303,0.000,0.000,1,0,3592,1303,0,Compensator_P,35
76,尖山.35kV.2#电容器,35,40.000,37.000,0,四川.尖山.35.1303,0.000,44.286,0,42.95,3594,1303,0,Compensator_P,35
77,尖山.35kV.3#电抗器,35,-60.000,37.000,0,四川.尖山.35.1304,0.000,0.000,1,0,3596,1304,0,Compensator_P,35
78,尖山.35kV.4#电抗器,35,-60.000,37.000,0,四川.尖山.35.1304,0.000,0.000,1,0,3598,1304,0,Compensator_P,35
79,尖山.35kV.3#电容器,35,40.000,37.000,0,四川.尖山.35.1304,0.000,45.690,0,45.15,3600,1304,0,Compensator_P,35
80,龙王.35kV.1-1#电抗器,35,-50.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4029,1623,0,Compensator_P,35
81,龙王.35kV.1-2#电抗器,35,-50.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4031,1623,0,Compensator_P,35
82,龙王.35kV.1-3#电抗器,35,-50.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4041,1623,0,Compensator_P,35
83,龙王.35kV.1-1#电容器,35,54.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4032,1623,0,Compensator_P,35
84,龙王.35kV.1-2#电容器,35,40.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4034,1623,0,Compensator_P,35
85,龙王.35kV.1-3#电容器,35,40.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4036,1623,0,Compensator_P,35
86,龙王.35kV.1-4#电容器,35,40.000,37.000,0,四川.龙王.35.1623,0.000,0.000,1,0,4038,1623,0,Compensator_P,35
87,龙王.35kV.2-1#电抗器,35,-50.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4043,1624,0,Compensator_P,35
88,龙王.35kV.2-2#电抗器,35,-50.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4045,1624,0,Compensator_P,35
89,龙王.35kV.2-3#电抗器,35,-50.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4055,1624,0,Compensator_P,35
90,龙王.35kV.2-1#电容器,35,40.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4046,1624,0,Compensator_P,35
91,龙王.35kV.2-2#电容器,35,54.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4048,1624,0,Compensator_P,35
92,龙王.35kV.2-3#电容器,35,40.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4050,1624,0,Compensator_P,35
93,龙王.35kV.2-4#电容器,35,40.000,37.000,0,四川.龙王.35.1624,0.000,0.000,1,0,4052,1624,0,Compensator_P,35
